distance,consume,speed,temp_outside,ac,rain,sun
16.0,3.7,45,17,0,0,0
16.0,4.2,41,15,0,0,0
15.4,4.1,45,24,0,0,0
16.0,4.0,43,16,0,0,0
21.0,3.8,37,21,0,0,0
15.4,3.8,47,24,0,0,0
16.0,3.8,42,17,0,0,0
16.1,5.1,30,16,1,1,0
16.0,4.0,42,15,0,0,0
15.4,4.8,40,18,0,0,0
17.2,3.9,35,16,0,0,0
16.6,4.6,50,25,0,0,0
