,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,external_temp
39,12.3,6.5,58,21.5,7,,E10,0,0,0,,COLD
40,12.4,4.0,55,21.5,7,AC and rain,E10,1,1,0,,COLD
41,4.5,5.0,29,21.5,7,AC,E10,1,0,0,,COLD
42,11.7,4.6,37,21.5,6,,E10,0,0,0,,COLD
43,10.2,4.3,44,21.5,7,,E10,0,0,0,,COLD
44,5.4,3.3,32,21.5,7,,SP98,0,0,0,37.6,COLD
45,2.0,9.9,21,21.5,4,,SP98,0,0,0,,COLD
46,14.2,5.1,32,21.5,7,,SP98,0,0,0,,COLD
47,16.0,4.9,25,21.5,8,,SP98,0,0,0,,COLD
48,11.8,4.9,25,21.5,11,,SP98,0,0,0,,COLD
49,27.3,4.7,36,21.5,10,,SP98,0,0,0,,COLD
50,11.8,5.1,29,21.5,5,rain,SP98,0,1,0,,COLD
51,10.6,4.9,63,21.5,6,,SP98,0,0,0,,COLD
52,11.6,4.2,61,21.5,7,,SP98,0,0,0,,COLD
53,13.1,6.1,46,21.5,6,rain,SP98,0,1,0,,COLD
54,6.1,6.4,28,21.5,8,,SP98,0,0,0,,COLD
55,153.5,4.9,82,21.5,3,rain,SP98,0,1,0,,COLD
56,11.8,4.9,24,21.5,7,,SP98,0,0,0,,COLD
57,12.3,6.2,61,21.5,8,,SP98,0,0,0,,COLD
58,12.4,4.2,57,21.5,8,,SP98,0,0,0,,COLD
59,12.3,5.7,52,21.5,8,rain,SP98,0,1,0,,COLD
60,2.9,7.9,18,21.5,9,AC and rain,SP98,1,1,0,,COLD
61,2.1,12.2,23,21.5,9,,SP98,1,1,0,,COLD
62,9.8,5.8,24,21.5,6,,SP98,0,0,0,,COLD
63,6.8,5.3,26,21.5,6,,SP98,0,0,0,,COLD
64,12.4,5.4,24,21.5,7,,SP98,0,0,0,,COLD
65,12.4,4.7,57,21.5,8,,SP98,0,0,0,,COLD
66,11.8,4.6,41,21.5,6,,SP98,0,0,0,,COLD
67,12.3,5.4,55,21.5,8,,SP98,0,0,0,,COLD
68,14.0,4.3,40,21.5,8,,SP98,0,0,0,,COLD
69,11.8,4.5,37,21.5,4,AC,SP98,1,0,0,,COLD
70,12.3,5.2,55,21.5,12,,SP98,0,0,0,,COLD
71,2.0,6.2,20,21.5,10,,SP98,0,0,0,,COLD
72,13.9,5.1,29,21.5,6,,SP98,0,0,0,,COLD
73,9.7,3.9,42,21.5,8,,SP98,0,0,0,,COLD
74,11.6,5.0,25,21.5,6,,SP98,0,0,0,,COLD
75,14.2,5.4,38,21.5,7,,SP98,0,0,0,,COLD
76,11.8,4.5,39,21.5,6,,SP98,0,0,0,,COLD
77,24.8,5.1,50,21.5,9,,SP98,0,0,0,,COLD
78,12.4,4.7,56,21.5,7,,SP98,0,0,0,,COLD
79,34.8,4.0,28,20.0,4,,SP98,0,0,0,,COLD
80,14.2,5.4,36,20.0,6,,SP98,0,0,0,,COLD
81,5.2,4.5,39,20.0,10,,SP98,0,0,0,,COLD
82,10.5,3.6,42,20.0,10,,SP98,0,0,0,37.7,COLD
83,12.3,5.2,57,20.0,10,,SP98,0,0,0,,COLD
84,11.8,4.9,25,20.0,11,,SP98,0,0,0,,COLD
85,12.3,6.2,58,20.0,11,rain,SP98,0,1,0,,COLD
86,13.2,4.3,51,20.0,11,rain,SP98,0,1,0,,COLD
87,13.0,5.0,45,20.0,11,rain,SP98,0,1,0,,COLD
88,12.9,5.1,32,20.0,11,,SP98,0,0,0,,COLD
89,13.9,5.6,22,20.0,8,,SP98,0,0,0,,COLD
90,11.8,4.3,37,20.0,6,,SP98,0,0,0,,COLD
91,12.2,5.8,60,20.0,11,,SP98,0,0,0,,COLD
92,12.5,4.0,51,20.0,13,,SP98,0,0,0,,COLD
93,12.4,4.7,43,,10,,SP98,0,0,0,,HOT
94,11.8,5.9,21,20.0,9,AC and rain,SP98,1,1,0,,COLD
95,11.8,5.3,52,,11,,SP98,0,0,0,,HOT
96,12.5,4.2,57,20.0,11,,SP98,0,0,0,,COLD
97,15.7,5.3,33,,9,,SP98,0,0,0,,HOT
98,12.9,5.7,35,,9,,SP98,0,0,0,,HOT
99,6.4,4.4,37,,10,,SP98,0,0,0,,HOT
100,5.3,4.1,34,,9,,SP98,0,0,0,,HOT
101,26.2,5.8,71,21.0,8,AC and rain,SP98,1,1,0,,COLD
102,18.8,5.0,62,,9,rain,SP98,0,1,0,,HOT
103,4.9,6.9,25,21.0,12,rain,SP98,0,1,0,,COLD
104,12.4,5.4,18,21.0,11,AC and rain,SP98,1,1,0,,COLD
105,22.9,5.3,45,20.5,7,,SP98,0,0,0,,COLD
106,162.7,5.5,75,23.0,1,,SP98,0,0,0,45.0,COLD
107,4.9,6.5,26,21.0,1,,SP98,0,0,0,,COLD
108,11.8,4.7,36,21.0,4,,SP98,0,0,0,,COLD
109,16.6,5.1,56,21.0,7,,SP98,0,0,0,,COLD
110,12.4,5.7,37,21.0,7,,SP98,0,0,0,,COLD
111,15.9,5.4,25,21.0,7,,SP98,0,0,0,,COLD
112,5.1,8.7,21,23.5,5,,SP98,0,0,0,,COLD
113,22.4,4.9,66,20.5,7,,SP98,0,0,0,,COLD
114,31.1,4.7,42,20.5,7,,SP98,0,0,0,,COLD
115,4.9,6.3,27,20.5,3,,SP98,0,0,0,,COLD
116,11.8,5.1,26,23.0,4,rain,SP98,0,1,0,,COLD
117,22.9,6.0,42,23.0,4,rain,SP98,0,1,0,,COLD
118,12.4,4.6,38,23.0,1,rain,SP98,0,1,0,,COLD
119,12.9,5.8,40,23.0,4,,SP98,0,0,0,,COLD
120,11.8,5.1,43,23.0,0,,SP98,0,0,0,,COLD
121,12.2,5.8,58,23.0,2,,SP98,0,0,0,,COLD
122,24.8,4.6,55,23.0,3,,SP98,0,0,0,,COLD
123,14.2,5.6,24,23.0,8,,SP98,0,0,0,,COLD
124,11.8,4.6,38,23.0,0,rain,SP98,0,1,0,,COLD
125,12.2,6.3,57,23.0,0,rain,SP98,0,1,0,,COLD
126,24.7,5.5,56,25.0,1,,SP98,0,0,0,,COLD
127,6.8,4.3,46,24.0,2,,SP98,0,0,0,,COLD
128,17.3,5.6,37,21.5,1,,SP98,0,0,0,,COLD
129,11.8,4.3,44,21.5,-3,,SP98,0,0,0,,COLD
130,15.9,5.7,46,21.5,5,,SP98,0,0,0,,COLD
131,5.1,6.4,39,21.5,4,,SP98,0,0,0,,COLD
132,16.1,4.5,33,21.5,6,,SP98,0,0,0,,COLD
133,11.8,4.5,43,21.5,3,,SP98,0,0,0,,COLD
134,4.2,6.0,26,21.5,5,,SP98,0,0,0,,COLD
135,17.4,5.1,30,21.5,5,,SP98,0,0,0,,COLD
136,23.5,6.0,25,21.5,5,rain,SP98,0,1,0,,COLD
137,11.8,4.5,38,21.5,5,rain,SP98,0,1,0,,COLD
138,12.3,6.1,61,21.5,10,rain,SP98,0,1,0,,COLD
139,16.1,5.4,24,21.5,7,rain,E10,0,1,0,38.0,COLD
140,11.8,4.3,40,21.5,10,rain,E10,0,1,0,,COLD
141,12.3,5.4,58,21.5,13,,E10,0,0,0,,COLD
142,12.4,4.3,49,21.5,17,,E10,0,0,0,,COLD
143,7.0,5.2,25,21.5,17,,E10,0,0,0,,COLD
144,11.8,4.1,37,21.5,10,,E10,0,0,0,,COLD
145,20.1,4.4,41,21.5,18,,E10,0,0,0,,COLD
146,20.8,4.5,45,21.5,10,,E10,0,0,0,,COLD
147,1.7,10.8,14,21.5,10,rain,E10,0,1,0,,COLD
148,35.9,4.7,45,21.5,12,,E10,0,0,0,,COLD
149,36.9,4.8,52,21.5,5,,E10,0,0,0,,COLD
150,16.8,4.0,46,21.5,8,,E10,0,0,0,,COLD
151,9.9,5.0,28,21.5,9,,E10,0,0,0,,COLD
152,22.9,4.6,61,21.5,7,rain,E10,0,1,0,,COLD
153,17.3,5.0,61,21.5,6,AC and rain,E10,1,1,0,,COLD
154,11.8,4.3,37,21.5,7,,E10,0,0,0,,COLD
155,36.6,5.2,80,21.5,7,rain,E10,0,1,0,,COLD
156,44.9,4.7,62,21.5,8,,E10,0,0,0,,COLD
157,11.8,4.2,34,21.5,9,rain,E10,0,1,0,,COLD
158,21.6,5.3,44,21.5,9,rain,E10,0,1,0,,COLD
159,39.4,5.3,60,21.5,9,rain,E10,0,1,0,,COLD
160,5.1,8.1,39,21.5,4,,E10,0,0,0,,COLD
161,26.6,4.8,38,21.5,7,,E10,0,0,0,,COLD
162,53.2,5.1,71,21.5,2,,E10,0,0,0,,COLD
163,18.9,4.4,53,21.5,2,,E10,0,0,0,,COLD
164,43.5,5.0,80,21.5,3,,E10,0,0,0,,COLD
165,6.1,6.3,26,21.5,5,,E10,0,0,0,,COLD
166,16.4,4.8,49,21.5,5,,E10,0,0,0,,COLD
167,12.3,6.1,40,21.5,6,,E10,0,0,0,,COLD
168,21.1,4.6,36,21.5,8,,E10,0,0,0,,COLD
169,21.1,4.8,43,21.5,7,,E10,0,0,0,,COLD
170,22.7,4.7,55,21.5,6,,E10,0,0,0,,COLD
171,44.4,4.8,38,21.5,8,,E10,0,0,0,38.3,COLD
172,35.8,4.4,51,21.5,6,,E10,0,0,0,,COLD
173,11.8,4.9,44,21.5,0,,E10,0,0,0,,COLD
174,26.2,4.9,42,21.5,6,,E10,0,0,0,,COLD
175,40.6,4.4,44,21.0,3,,E10,0,0,0,,COLD
176,12.4,5.3,38,21.0,-5,,E10,0,0,0,,COLD
177,14.1,5.3,47,21.0,-3,,E10,0,0,0,,COLD
178,58.7,4.8,75,21.0,0,,E10,0,0,0,,COLD
179,16.2,5.2,29,21.0,0,,E10,0,0,0,,COLD
180,12.3,4.9,50,22.5,0,,E10,0,0,0,,COLD
181,12.3,7.1,52,22.5,0,AC and rain,E10,1,1,0,,COLD
182,12.4,5.2,51,22.5,1,,E10,0,0,0,,COLD
183,31.8,4.7,59,22.5,3,,E10,0,0,0,,COLD
184,12.3,5.1,55,22.5,8,,E10,0,0,0,,COLD
185,51.6,5.0,73,22.5,12,,E10,0,0,0,,COLD
186,38.6,4.6,44,22.5,10,,E10,0,0,0,,COLD
187,12.3,4.8,41,22.5,7,,E10,0,0,0,,COLD
188,81.2,4.4,69,22.0,13,,E10,0,0,0,,COLD
189,130.3,4.6,85,22.0,12,,E10,0,0,0,,COLD
190,67.2,4.3,67,22.0,18,,E10,0,0,0,,COLD
191,43.7,4.7,44,22.0,9,sun,SP98,0,1,0,10.0,COLD
192,12.1,4.2,43,22.0,4,,SP98,0,0,0,39.0,COLD
193,56.1,4.8,82,22.0,13,,SP98,0,0,0,,COLD
194,39.0,4.1,61,22.0,16,,SP98,0,0,0,,COLD
195,11.8,4.5,41,21.5,13,,SP98,0,0,0,,COLD
196,38.5,4.8,63,21.5,14,,SP98,0,0,0,,COLD
197,28.2,4.6,54,21.5,14,,SP98,0,0,0,,COLD
198,2.9,7.4,24,21.5,14,,SP98,0,0,0,,COLD
199,6.1,5.6,24,21.5,13,,SP98,0,0,0,,COLD
200,19.6,4.9,43,21.5,13,,SP98,0,0,0,,COLD
201,22.2,3.8,42,,15,,SP98,0,0,0,,HOT
202,13.6,4.5,44,19.0,18,,SP98,0,0,0,,COLD
203,12.6,4.1,33,,17,,SP98,0,0,0,,HOT
204,8.7,5.3,28,22.5,12,AC and rain,SP98,1,1,0,,COLD
205,7.9,4.7,31,22.5,12,AC,SP98,1,0,0,,COLD
206,2.4,9.0,26,20.0,10,,SP98,0,0,0,,COLD
207,4.9,6.3,26,20.0,10,,SP98,0,0,0,,COLD
208,18.1,3.6,36,20.0,19,,SP98,0,0,0,,COLD
209,25.9,3.7,39,20.0,21,,SP98,0,0,0,,HOT
210,1.3,11.5,21,20.0,10,,SP98,0,0,0,,COLD
211,14.1,5.0,22,20.0,12,,SP98,0,0,0,,COLD
212,13.4,5.5,31,20.0,9,,SP98,0,0,0,,COLD
213,6.4,4.7,33,20.0,8,,SP98,0,0,0,,COLD
214,12.9,4.5,42,20.0,13,,SP98,0,0,0,,COLD
215,12.1,4.4,33,22.5,5,,SP98,0,0,0,,COLD
216,15.7,4.1,32,22.5,13,,SP98,0,0,0,,COLD
217,16.2,4.4,26,22.5,11,,SP98,0,0,0,,COLD
218,12.8,4.6,22,22.5,12,,SP98,0,0,0,,COLD
219,19.0,4.4,58,22.5,17,sun,SP98,0,0,1,,COLD
220,29.0,4.0,27,22.5,12,,SP98,0,0,0,,COLD
221,12.1,5.0,32,22.5,9,,SP98,0,0,0,,COLD
222,12.3,5.2,55,22.5,10,,SP98,0,0,0,,COLD
223,24.8,4.0,56,22.5,11,,SP98,0,0,0,,COLD
224,12.9,5.1,34,22.5,8,rain,SP98,0,1,0,,COLD
225,11.8,4.5,39,22.5,3,,SP98,0,0,0,,COLD
226,31.4,4.6,62,22.5,11,,SP98,0,0,0,,COLD
227,19.0,5.1,53,22.5,4,rain,SP98,0,1,0,,COLD
228,13.0,5.7,38,22.5,3,AC and rain,SP98,1,1,0,,COLD
229,11.8,4.8,42,22.5,2,,SP98,0,0,0,,COLD
230,13.0,6.2,32,22.5,4,,SP98,0,0,0,,COLD
231,11.8,5.0,43,22.5,1,,SP98,0,0,0,,COLD
232,27.1,5.0,69,22.5,8,,SP98,0,0,0,,COLD
233,5.2,4.6,38,22.5,8,,SP98,0,0,0,,COLD
234,19.0,4.5,29,22.5,10,,E10,0,0,0,39.0,COLD
235,12.4,4.8,38,22.5,1,,E10,0,0,0,,COLD
236,25.2,5.0,55,22.5,9,,E10,0,0,0,,COLD
237,14.3,4.8,36,22.5,10,,E10,0,0,0,,COLD
238,11.8,4.6,40,22.5,2,,E10,0,0,0,,COLD
239,16.9,4.5,48,22.5,9,sun,E10,0,0,1,,COLD
240,12.4,4.6,55,22.5,11,sun,E10,0,0,1,,COLD
241,17.4,4.4,36,22.5,12,sun,E10,0,0,1,,COLD
242,9.2,5.7,33,22.5,8,rain,E10,0,1,0,,COLD
243,12.3,5.8,54,22.5,10,rain,E10,0,1,0,,COLD
244,13.0,5.9,32,22.5,10,,E10,0,0,0,,COLD
245,11.8,6.1,16,22.5,6,rain,E10,0,1,0,,COLD
246,13.0,5.7,37,22.5,11,rain,E10,0,1,0,,COLD
247,12.3,5.0,42,22.5,10,,E10,0,0,0,,COLD
248,12.3,5.2,57,22.5,15,sun,E10,0,0,1,,COLD
249,12.5,4.3,57,22.5,16,sun,E10,0,0,1,,COLD
250,31.5,4.1,30,22.5,16,sun,E10,0,0,1,,COLD
251,11.8,4.4,42,22.5,8,,E10,0,0,0,,COLD
252,24.9,4.5,53,22.5,14,,E10,0,0,0,,COLD
253,17.0,3.9,46,22.5,14,sun,E10,0,0,1,,COLD
254,2.0,8.1,20,22.5,14,,E10,0,0,0,,COLD
255,11.8,4.4,33,22.5,8,,E10,0,0,0,,COLD
256,7.4,5.0,31,22.5,12,,E10,0,0,0,,COLD
257,12.4,4.7,55,22.5,14,sun,E10,0,0,1,,COLD
258,2.0,6.0,22,22.5,14,,E10,0,0,0,,COLD
259,14.0,5.0,41,22.5,8,,E10,0,0,0,,COLD
260,25.7,5.0,45,22.5,7,,E10,0,0,0,,COLD
261,24.5,3.9,50,,15,sun,E10,0,0,1,,HOT
262,11.8,4.5,28,22.5,12,,E10,0,0,0,,COLD
263,4.1,5.4,24,22.5,13,,E10,0,0,0,,COLD
264,4.2,5.6,29,22.0,17,,E10,0,0,0,,COLD
265,4.2,3.9,29,22.0,18,sun,E10,0,0,1,,COLD
266,16.0,4.0,40,22.0,10,,E10,0,0,0,,COLD
267,22.9,4.0,29,,21,,E10,0,0,0,,HOT
268,16.0,3.8,42,,8,,E10,0,0,0,,HOT
269,15.4,4.5,50,22.0,14,,E10,0,0,0,,COLD
270,16.0,3.8,41,22.0,12,,E10,0,0,0,,COLD
271,4.2,5.6,32,22.0,18,,E10,0,0,0,,COLD
272,101.9,5.2,75,22.0,18,,E10,0,0,0,,COLD
273,93.9,4.8,88,23.0,18,AC and sun,E10,1,0,1,,COLD
274,25.7,4.9,50,22.0,10,rain,SP98,0,1,0,41.0,COLD
275,16.0,4.1,40,22.0,10,,SP98,0,0,0,,COLD
276,16.1,4.5,32,22.0,19,,SP98,0,0,0,,COLD
277,16.0,4.4,40,22.0,7,AC and rain,SP98,1,1,0,,COLD
278,16.0,4.5,41,22.0,11,,SP98,0,0,0,,COLD
279,24.7,4.5,26,22.0,10,,SP98,0,0,0,,COLD
280,16.0,3.9,42,22.0,8,,SP98,0,0,0,,COLD
281,15.4,4.6,43,22.0,16,,SP98,0,0,0,,COLD
282,16.0,3.8,40,22.0,8,,SP98,0,0,0,,COLD
283,32.1,4.5,50,22.0,16,,SP98,0,0,0,,COLD
284,25.9,4.4,40,22.0,14,,SP98,0,0,0,,COLD
285,48.6,4.3,44,22.0,12,,SP98,0,0,0,,COLD
286,37.2,4.0,45,22.0,20,sun,SP98,0,0,1,,COLD
287,28.8,3.9,35,22.0,15,sun,SP98,0,0,1,,COLD
288,6.7,5.0,30,22.0,17,,SP98,0,0,0,,COLD
289,7.4,4.1,25,22.0,18,sun,SP98,0,0,1,,COLD
290,17.3,4.1,22,22.0,25,sun,SP98,0,0,1,,HOT
291,6.6,5.6,43,22.0,16,,SP98,0,0,0,,COLD
292,14.3,4.1,26,22.0,20,,SP98,0,0,0,,COLD
293,13.3,4.6,33,22.0,18,,SP98,0,0,0,,COLD
294,8.3,4.9,26,22.0,23,,SP98,0,0,0,,HOT
295,12.7,4.5,39,22.0,27,sun,SP98,0,0,1,,HOT
296,16.5,4.1,47,22.0,14,,SP98,0,0,0,,COLD
297,20.6,4.1,38,22.0,21,,SP98,0,0,0,,COLD
298,16.3,4.5,58,22.0,16,,SP98,0,0,0,,COLD
299,18.7,4.2,65,25.0,18,AC and sun,SP98,1,0,1,,COLD
300,36.5,3.9,54,23.0,18,sun,SP98,0,0,1,,COLD
301,19.0,5.0,35,22.0,15,AC and sun,SP98,1,0,1,,COLD
302,16.6,4.4,46,22.0,5,AC,SP98,1,0,0,,COLD
303,29.9,4.5,32,22.0,18,AC,SP98,1,0,0,,COLD
304,16.0,3.8,42,22.0,11,,SP98,0,0,0,,COLD
305,21.1,5.1,33,22.0,10,rain,SP98,0,1,0,,COLD
306,16.0,3.9,40,22.0,10,,SP98,0,0,0,,COLD
307,11.9,5.3,34,22.0,13,,SP98,0,0,0,,COLD
308,10.1,4.2,35,22.0,16,,SP98,0,0,0,,COLD
309,31.9,4.3,33,22.0,16,,SP98,0,0,0,,COLD
310,18.7,4.0,60,22.0,13,,SP98,0,0,0,,COLD
311,10.8,4.7,48,22.0,17,sun,SP98,0,0,1,,COLD
312,19.8,4.0,56,22.0,17,sun,SP98,0,0,1,,COLD
313,11.3,4.3,38,22.0,17,,SP98,0,0,0,37.0,COLD
314,11.5,5.3,53,22.0,15,,SP98,0,0,0,,COLD
315,21.4,5.2,51,22.0,13,,SP98,0,0,0,,COLD
316,32.0,4.9,53,22.0,15,,SP98,0,0,0,,COLD
317,41.9,4.7,53,22.0,14,,SP98,0,0,0,,COLD
318,211.0,4.6,80,22.0,20,,SP98,0,0,0,,COLD
319,216.1,5.3,90,22.0,21,sun,SP98,0,0,1,,COLD
320,25.5,3.6,27,22.0,27,sun,SP98,0,0,1,,HOT
321,16.6,4.2,52,22.0,15,rain,SP98,0,1,0,,COLD
322,25.9,4.1,43,22.0,24,,SP98,0,0,0,,HOT
323,16.5,4.0,48,22.0,15,,SP98,0,0,0,,COLD
324,22.1,3.9,29,22.0,26,,SP98,0,0,0,,HOT
325,16.6,3.7,49,22.0,17,,E10,0,0,0,37.7,COLD
326,15.4,4.5,43,22.0,24,,E10,0,0,0,,HOT
327,16.5,3.9,43,22.0,17,,E10,0,0,0,,COLD
328,15.4,5.1,21,22.0,24,,E10,0,0,0,,HOT
329,18.4,4.2,59,22.0,24,,E10,0,0,0,,HOT
330,39.5,4.2,58,22.0,25,,E10,0,0,0,,HOT
331,21.5,4.8,47,25.0,27,AC and sun,E10,1,0,1,,HOT
332,4.8,4.7,26,25.0,18,,E10,0,0,0,,COLD
333,100.9,4.7,87,23.5,22,,E10,0,0,0,,COLD
334,129.7,4.6,58,24.0,21,AC,E10,0,0,0,,COLD
335,16.6,3.8,43,21.5,16,,E10,0,0,0,,COLD
336,15.4,4.2,50,21.5,21,,E10,0,0,0,,COLD
337,16.0,3.7,45,22.0,17,,E10,0,0,0,,COLD
338,16.0,4.2,41,22.0,15,,E10,0,0,0,,COLD
339,15.4,4.1,45,22.0,24,,E10,0,0,0,,HOT
340,16.0,4.0,43,22.0,16,,E10,0,0,0,,COLD
341,21.0,3.8,37,22.0,21,,E10,0,0,0,,COLD
342,15.4,3.8,47,22.0,24,,E10,0,0,0,,HOT
343,16.0,3.8,42,22.0,17,,E10,0,0,0,,COLD
344,16.1,5.1,30,25.0,16,AC and rain,E10,1,1,0,,COLD
345,16.0,4.0,42,22.0,15,,E10,0,0,0,,COLD
346,15.4,4.8,40,22.0,18,,E10,0,0,0,,COLD
347,17.2,3.9,35,22.0,16,,E10,0,0,0,,COLD
348,16.6,4.6,50,22.0,25,,E10,0,0,0,,HOT
349,18.3,4.3,46,22.0,16,,SP98,0,0,0,37.2,COLD
350,16.1,4.8,36,22.0,18,rain,SP98,0,1,0,,COLD
351,16.0,4.1,46,22.0,17,,SP98,0,0,0,,COLD
352,16.3,4.0,35,22.0,23,,SP98,0,0,0,,HOT
353,16.0,3.7,44,22.0,16,,SP98,0,0,0,,COLD
354,18.3,4.3,46,22.0,23,,SP98,0,0,0,,HOT
355,4.5,5.2,23,22.0,23,sun,SP98,0,0,1,,HOT
356,17.0,4.2,48,22.0,16,,SP98,0,0,0,,COLD
357,6.1,5.0,35,24.5,18,,SP98,0,0,0,,COLD
358,6.1,5.0,33,22.0,24,sun,SP98,0,0,1,,HOT
359,17.3,4.2,36,22.0,22,,SP98,0,0,0,,COLD
360,6.0,4.8,27,22.0,17,,SP98,0,0,0,,COLD
361,16.0,4.1,45,22.0,15,,SP98,0,0,0,,COLD
362,15.4,4.9,55,22.0,18,,SP98,0,0,0,,COLD
363,15.4,4.3,39,22.0,23,,SP98,0,0,0,,HOT
364,16.0,3.9,35,22.0,18,,SP98,0,0,0,,COLD
365,15.4,4.5,52,22.0,26,,SP98,0,0,0,,HOT
366,16.6,4.1,48,25.5,30,AC and sun,SP98,1,0,1,,HOT
367,15.4,5.0,48,25.5,31,AC,SP98,1,0,0,,HOT
368,16.0,4.0,43,22.0,21,AC,SP98,1,0,0,,COLD
369,15.4,4.5,42,22.0,30,,SP98,0,0,0,,HOT
370,16.0,3.6,43,22.0,19,,SP98,0,0,0,,COLD
371,20.9,4.1,33,22.0,21,,SP98,0,0,0,,COLD
372,32.1,3.9,47,22.0,26,,SP98,0,0,0,,HOT
373,15.3,6.6,16,24.0,27,AC,SP98,1,0,0,,HOT
374,28.5,4.0,44,25.0,23,AC,SP98,1,0,0,,COLD
375,11.9,3.7,33,25.0,19,,SP98,0,0,0,,COLD
376,14.5,4.3,36,25.0,22,,SP98,0,0,0,,COLD
377,16.6,4.1,49,22.0,26,sun,SP98,0,0,1,,HOT
378,16.2,4.4,39,24.5,17,AC,SP98,1,0,0,,COLD
379,16.7,3.8,44,24.5,23,sun,SP98,0,0,1,,COLD
380,8.3,5.0,52,24.5,27,,SP98,0,0,0,,HOT
381,5.5,3.7,33,24.5,28,sun,SP98,0,0,1,,HOT
382,13.6,3.7,33,24.5,28,sun,SP98,0,0,1,,HOT
383,16.0,3.7,39,24.5,18,,SP98,0,0,0,,COLD
384,16.1,4.3,38,25.0,31,AC,SP98,1,0,0,,HOT
385,16.0,3.8,45,25.0,19,,SP98,0,0,0,,COLD
386,15.4,4.6,42,25.0,31,AC,SP98,1,0,0,,HOT
387,14.7,5.0,25,25.0,30,AC,SP98,1,0,0,,HOT
