,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,snow,time,precio
48,11.8,4.9,25,21.5,11,SP98,0,0,0,0,0.47200000000000003,1.606
49,27.3,4.7,36,21.5,10,SP98,0,0,0,0,0.7583333333333333,1.606
50,11.8,5.1,29,21.5,5,SP98,0,1,0,0,0.40689655172413797,1.606
51,10.6,4.9,63,21.5,6,SP98,0,0,0,0,0.16825396825396824,1.606
52,11.6,4.2,61,21.5,7,SP98,0,0,0,0,0.1901639344262295,1.606
53,13.1,6.1,46,21.5,6,SP98,0,1,0,0,0.28478260869565214,1.606
54,6.1,6.4,28,21.5,8,SP98,0,0,0,0,0.21785714285714283,1.606
55,153.5,4.9,82,21.5,3,SP98,0,1,0,0,1.8719512195121952,1.606
56,11.8,4.9,24,21.5,7,SP98,0,0,0,0,0.4916666666666667,1.606
57,12.3,6.2,61,21.5,8,SP98,0,0,0,0,0.2016393442622951,1.606
58,12.4,4.2,57,21.5,8,SP98,0,0,0,0,0.21754385964912282,1.606
59,12.3,5.7,52,21.5,8,SP98,0,1,0,0,0.23653846153846156,1.606
60,2.9,7.9,18,21.5,9,SP98,1,1,0,0,0.1611111111111111,1.606
61,2.1,12.2,23,21.5,9,SP98,1,1,0,0,0.09130434782608696,1.606
62,9.8,5.8,24,21.5,6,SP98,0,0,0,0,0.4083333333333334,1.606
63,6.8,5.3,26,21.5,6,SP98,0,0,0,0,0.26153846153846155,1.606
64,12.4,5.4,24,21.5,7,SP98,0,0,0,0,0.5166666666666667,1.606
65,12.4,4.7,57,21.5,8,SP98,0,0,0,0,0.21754385964912282,1.606
66,11.8,4.6,41,21.5,6,SP98,0,0,0,0,0.2878048780487805,1.606
67,12.3,5.4,55,21.5,8,SP98,0,0,0,0,0.22363636363636366,1.606
68,14.0,4.3,40,21.5,8,SP98,0,0,0,0,0.35,1.606
69,11.8,4.5,37,21.5,4,SP98,1,0,0,0,0.31891891891891894,1.606
70,12.3,5.2,55,21.5,12,SP98,0,0,0,0,0.22363636363636366,1.606
71,2.0,6.2,20,21.5,10,SP98,0,0,0,0,0.1,1.606
72,13.9,5.1,29,21.5,6,SP98,0,0,0,0,0.4793103448275862,1.606
73,9.7,3.9,42,21.5,8,SP98,0,0,0,0,0.23095238095238094,1.606
74,11.6,5.0,25,21.5,6,SP98,0,0,0,0,0.46399999999999997,1.606
75,14.2,5.4,38,21.5,7,SP98,0,0,0,0,0.3736842105263158,1.606
76,11.8,4.5,39,21.5,6,SP98,0,0,0,0,0.3025641025641026,1.606
77,24.8,5.1,50,21.5,9,SP98,0,0,0,0,0.496,1.606
78,12.4,4.7,56,21.5,7,SP98,0,0,0,0,0.22142857142857145,1.606
79,34.8,4.0,28,20.0,4,SP98,0,0,0,0,1.2428571428571427,1.606
80,14.2,5.4,36,20.0,6,SP98,0,0,0,0,0.39444444444444443,1.606
81,5.2,4.5,39,20.0,10,SP98,0,0,0,0,0.13333333333333333,1.606
82,10.5,3.6,42,20.0,10,SP98,0,0,0,0,0.25,1.606
83,12.3,5.2,57,20.0,10,SP98,0,0,0,0,0.21578947368421053,1.606
84,11.8,4.9,25,20.0,11,SP98,0,0,0,0,0.47200000000000003,1.606
85,12.3,6.2,58,20.0,11,SP98,0,1,0,0,0.2120689655172414,1.606
86,13.2,4.3,51,20.0,11,SP98,0,1,0,0,0.2588235294117647,1.606
87,13.0,5.0,45,20.0,11,SP98,0,1,0,0,0.28888888888888886,1.606
88,12.9,5.1,32,20.0,11,SP98,0,0,0,0,0.403125,1.606
89,13.9,5.6,22,20.0,8,SP98,0,0,0,0,0.6318181818181818,1.606
90,11.8,4.3,37,20.0,6,SP98,0,0,0,0,0.31891891891891894,1.606
91,12.2,5.8,60,20.0,11,SP98,0,0,0,0,0.2033333333333333,1.606
92,12.5,4.0,51,20.0,13,SP98,0,0,0,0,0.24509803921568626,1.606
93,11.8,5.9,21,20.0,9,SP98,1,1,0,0,0.5619047619047619,1.606
94,12.5,4.2,57,20.0,11,SP98,0,0,0,0,0.21929824561403508,1.606
95,26.2,5.8,71,21.0,8,SP98,1,1,0,0,0.36901408450704226,1.606
96,4.9,6.9,25,21.0,12,SP98,0,1,0,0,0.196,1.606
97,12.4,5.4,18,21.0,11,SP98,1,1,0,0,0.6888888888888889,1.606
98,22.9,5.3,45,20.5,7,SP98,0,0,0,0,0.5088888888888888,1.606
99,162.7,5.5,75,23.0,1,SP98,0,0,0,0,2.1693333333333333,1.606
100,4.9,6.5,26,21.0,1,SP98,0,0,0,0,0.18846153846153849,1.606
101,11.8,4.7,36,21.0,4,SP98,0,0,0,0,0.3277777777777778,1.606
102,16.6,5.1,56,21.0,7,SP98,0,0,0,0,0.29642857142857143,1.606
103,12.4,5.7,37,21.0,7,SP98,0,0,0,0,0.33513513513513515,1.606
104,15.9,5.4,25,21.0,7,SP98,0,0,0,0,0.636,1.606
105,5.1,8.7,21,23.5,5,SP98,0,0,0,0,0.24285714285714283,1.606
106,22.4,4.9,66,20.5,7,SP98,0,0,0,0,0.33939393939393936,1.606
107,31.1,4.7,42,20.5,7,SP98,0,0,0,0,0.7404761904761905,1.606
108,4.9,6.3,27,20.5,3,SP98,0,0,0,0,0.1814814814814815,1.606
109,11.8,5.1,26,23.0,4,SP98,0,1,0,0,0.4538461538461539,1.606
110,22.9,6.0,42,23.0,4,SP98,0,1,0,0,0.5452380952380952,1.606
111,12.4,4.6,38,23.0,1,SP98,0,1,0,1,0.3263157894736842,1.606
112,12.9,5.8,40,23.0,4,SP98,0,0,0,0,0.3225,1.606
113,11.8,5.1,43,23.0,0,SP98,0,0,0,0,0.2744186046511628,1.606
114,12.2,5.8,58,23.0,2,SP98,0,0,0,0,0.21034482758620687,1.606
115,24.8,4.6,55,23.0,3,SP98,0,0,0,0,0.4509090909090909,1.606
116,14.2,5.6,24,23.0,8,SP98,0,0,0,0,0.5916666666666667,1.606
117,11.8,4.6,38,23.0,0,SP98,0,1,0,1,0.3105263157894737,1.606
118,12.2,6.3,57,23.0,0,SP98,0,1,0,1,0.21403508771929824,1.606
119,24.7,5.5,56,25.0,1,SP98,0,0,0,0,0.44107142857142856,1.606
120,6.8,4.3,46,24.0,2,SP98,0,0,0,0,0.14782608695652175,1.606
121,17.3,5.6,37,21.5,1,SP98,0,0,0,0,0.46756756756756757,1.606
122,11.8,4.3,44,21.5,-3,SP98,0,0,0,0,0.2681818181818182,1.606
123,15.9,5.7,46,21.5,5,SP98,0,0,0,0,0.3456521739130435,1.606
124,5.1,6.4,39,21.5,4,SP98,0,0,0,0,0.13076923076923075,1.606
125,16.1,4.5,33,21.5,6,SP98,0,0,0,0,0.4878787878787879,1.606
126,11.8,4.5,43,21.5,3,SP98,0,0,0,0,0.2744186046511628,1.606
127,4.2,6.0,26,21.5,5,SP98,0,0,0,0,0.16153846153846155,1.606
128,17.4,5.1,30,21.5,5,SP98,0,0,0,0,0.58,1.606
129,23.5,6.0,25,21.5,5,SP98,0,1,0,0,0.94,1.606
130,11.8,4.5,38,21.5,5,SP98,0,1,0,0,0.3105263157894737,1.606
131,12.3,6.1,61,21.5,10,SP98,0,1,0,0,0.2016393442622951,1.606
132,16.1,5.4,24,21.5,7,E10,0,1,0,0,0.6708333333333334,1.606
133,11.8,4.3,40,21.5,10,E10,0,1,0,0,0.29500000000000004,1.606
134,12.3,5.4,58,21.5,13,E10,0,0,0,0,0.2120689655172414,1.606
135,12.4,4.3,49,21.5,17,E10,0,0,0,0,0.2530612244897959,1.606
136,7.0,5.2,25,21.5,17,E10,0,0,0,0,0.28,1.606
137,11.8,4.1,37,21.5,10,E10,0,0,0,0,0.31891891891891894,1.606
138,20.1,4.4,41,21.5,18,E10,0,0,0,0,0.49024390243902444,1.606
139,20.8,4.5,45,21.5,10,E10,0,0,0,0,0.46222222222222226,1.606
140,1.7,10.8,14,21.5,10,E10,0,1,0,0,0.12142857142857143,1.606
141,35.9,4.7,45,21.5,12,E10,0,0,0,0,0.7977777777777777,1.606
142,36.9,4.8,52,21.5,5,E10,0,0,0,0,0.7096153846153845,1.606
143,16.8,4.0,46,21.5,8,E10,0,0,0,0,0.3652173913043478,1.606
144,9.9,5.0,28,21.5,9,E10,0,0,0,0,0.3535714285714286,1.606
145,22.9,4.6,61,21.5,7,E10,0,1,0,0,0.37540983606557377,1.606
146,17.3,5.0,61,21.5,6,E10,1,1,0,0,0.2836065573770492,1.606
147,11.8,4.3,37,21.5,7,E10,0,0,0,0,0.31891891891891894,1.606
148,36.6,5.2,80,21.5,7,E10,0,1,0,0,0.4575,1.606
149,44.9,4.7,62,21.5,8,E10,0,0,0,0,0.7241935483870967,1.606
150,11.8,4.2,34,21.5,9,E10,0,1,0,0,0.3470588235294118,1.606
151,21.6,5.3,44,21.5,9,E10,0,1,0,0,0.49090909090909096,1.606
152,39.4,5.3,60,21.5,9,E10,0,1,0,0,0.6566666666666666,1.606
153,5.1,8.1,39,21.5,4,E10,0,0,0,0,0.13076923076923075,1.606
154,26.6,4.8,38,21.5,7,E10,0,0,0,0,0.7000000000000001,1.606
155,53.2,5.1,71,21.5,2,E10,0,0,0,0,0.7492957746478873,1.606
156,18.9,4.4,53,21.5,2,E10,0,0,0,0,0.35660377358490564,1.606
157,43.5,5.0,80,21.5,3,E10,0,0,0,0,0.54375,1.606
158,6.1,6.3,26,21.5,5,E10,0,0,0,0,0.23461538461538461,1.606
159,16.4,4.8,49,21.5,5,E10,0,0,0,0,0.33469387755102037,1.606
160,12.3,6.1,40,21.5,6,E10,0,0,0,0,0.3075,1.606
161,21.1,4.6,36,21.5,8,E10,0,0,0,0,0.5861111111111111,1.606
162,21.1,4.8,43,21.5,7,E10,0,0,0,0,0.4906976744186047,1.606
163,22.7,4.7,55,21.5,6,E10,0,0,0,0,0.4127272727272727,1.606
164,44.4,4.8,38,21.5,8,E10,0,0,0,0,1.1684210526315788,1.606
165,35.8,4.4,51,21.5,6,E10,0,0,0,0,0.7019607843137254,1.606
166,11.8,4.9,44,21.5,0,E10,0,0,0,0,0.2681818181818182,1.606
167,26.2,4.9,42,21.5,6,E10,0,0,0,0,0.6238095238095238,1.606
168,40.6,4.4,44,21.0,3,E10,0,0,0,0,0.9227272727272727,1.606
169,12.4,5.3,38,21.0,-5,E10,0,0,0,0,0.3263157894736842,1.606
170,14.1,5.3,47,21.0,-3,E10,0,0,0,0,0.3,1.606
171,58.7,4.8,75,21.0,0,E10,0,0,0,0,0.7826666666666667,1.606
172,16.2,5.2,29,21.0,0,E10,0,0,0,0,0.5586206896551724,1.606
173,12.3,4.9,50,22.5,0,E10,0,0,0,0,0.24600000000000002,1.606
174,12.3,7.1,52,22.5,0,E10,1,1,0,1,0.23653846153846156,1.606
175,12.4,5.2,51,22.5,1,E10,0,0,0,0,0.24313725490196078,1.606
176,31.8,4.7,59,22.5,3,E10,0,0,0,0,0.5389830508474577,1.606
177,12.3,5.1,55,22.5,8,E10,0,0,0,0,0.22363636363636366,1.606
178,51.6,5.0,73,22.5,12,E10,0,0,0,0,0.7068493150684931,1.606
179,38.6,4.6,44,22.5,10,E10,0,0,0,0,0.8772727272727273,1.606
180,12.3,4.8,41,22.5,7,E10,0,0,0,0,0.30000000000000004,1.606
181,81.2,4.4,69,22.0,13,E10,0,0,0,0,1.1768115942028985,1.606
182,130.3,4.6,85,22.0,12,E10,0,0,0,0,1.5329411764705885,1.606
183,67.2,4.3,67,22.0,18,E10,0,0,0,0,1.0029850746268658,1.606
184,43.7,4.7,44,22.0,9,SP98,0,0,0,0,0.9931818181818183,1.606
185,12.1,4.2,43,22.0,4,SP98,0,0,0,0,0.2813953488372093,1.606
186,56.1,4.8,82,22.0,13,SP98,0,0,0,0,0.6841463414634147,1.606
187,39.0,4.1,61,22.0,16,SP98,0,0,0,0,0.639344262295082,1.606
188,11.8,4.5,41,21.5,13,SP98,0,0,0,0,0.2878048780487805,1.606
189,38.5,4.8,63,21.5,14,SP98,0,0,0,0,0.6111111111111112,1.606
190,28.2,4.6,54,21.5,14,SP98,0,0,0,0,0.5222222222222223,1.606
191,2.9,7.4,24,21.5,14,SP98,0,0,0,0,0.12083333333333333,1.606
192,6.1,5.6,24,21.5,13,SP98,0,0,0,0,0.25416666666666665,1.606
193,19.6,4.9,43,21.5,13,SP98,0,0,0,0,0.4558139534883721,1.606
194,13.6,4.5,44,19.0,18,SP98,0,0,0,0,0.3090909090909091,1.606
195,8.7,5.3,28,22.5,12,SP98,1,1,0,0,0.31071428571428567,1.606
196,7.9,4.7,31,22.5,12,SP98,1,0,0,0,0.25483870967741934,1.606
197,2.4,9.0,26,20.0,10,SP98,0,0,0,0,0.0923076923076923,1.606
198,4.9,6.3,26,20.0,10,SP98,0,0,0,0,0.18846153846153849,1.606
199,18.1,3.6,36,20.0,19,SP98,0,0,0,0,0.5027777777777778,1.606
200,25.9,3.7,39,20.0,21,SP98,0,0,0,0,0.6641025641025641,1.606
201,1.3,11.5,21,20.0,10,SP98,0,0,0,0,0.06190476190476191,1.606
202,14.1,5.0,22,20.0,12,SP98,0,0,0,0,0.6409090909090909,1.606
203,13.4,5.5,31,20.0,9,SP98,0,0,0,0,0.432258064516129,1.606
204,6.4,4.7,33,20.0,8,SP98,0,0,0,0,0.19393939393939394,1.606
205,12.9,4.5,42,20.0,13,SP98,0,0,0,0,0.30714285714285716,1.606
206,12.1,4.4,33,22.5,5,SP98,0,0,0,0,0.36666666666666664,1.606
207,15.7,4.1,32,22.5,13,SP98,0,0,0,0,0.490625,1.606
208,16.2,4.4,26,22.5,11,SP98,0,0,0,0,0.6230769230769231,1.606
209,12.8,4.6,22,22.5,12,SP98,0,0,0,0,0.5818181818181819,1.606
210,19.0,4.4,58,22.5,17,SP98,0,0,1,0,0.3275862068965517,1.606
211,29.0,4.0,27,22.5,12,SP98,0,0,0,0,1.0740740740740742,1.606
212,12.1,5.0,32,22.5,9,SP98,0,0,0,0,0.378125,1.606
213,12.3,5.2,55,22.5,10,SP98,0,0,0,0,0.22363636363636366,1.606
214,24.8,4.0,56,22.5,11,SP98,0,0,0,0,0.4428571428571429,1.606
215,12.9,5.1,34,22.5,8,SP98,0,1,0,0,0.37941176470588234,1.606
216,11.8,4.5,39,22.5,3,SP98,0,0,0,0,0.3025641025641026,1.606
217,31.4,4.6,62,22.5,11,SP98,0,0,0,0,0.5064516129032258,1.606
218,19.0,5.1,53,22.5,4,SP98,0,1,0,0,0.3584905660377358,1.606
219,13.0,5.7,38,22.5,3,SP98,1,1,0,0,0.34210526315789475,1.606
220,11.8,4.8,42,22.5,2,SP98,0,0,0,0,0.28095238095238095,1.606
221,13.0,6.2,32,22.5,4,SP98,0,0,0,0,0.40625,1.606
222,11.8,5.0,43,22.5,1,SP98,0,0,0,0,0.2744186046511628,1.606
223,27.1,5.0,69,22.5,8,SP98,0,0,0,0,0.39275362318840584,1.606
224,5.2,4.6,38,22.5,8,SP98,0,0,0,0,0.1368421052631579,1.606
225,19.0,4.5,29,22.5,10,E10,0,0,0,0,0.6551724137931034,1.606
226,12.4,4.8,38,22.5,1,E10,0,0,0,0,0.3263157894736842,1.606
227,25.2,5.0,55,22.5,9,E10,0,0,0,0,0.4581818181818182,1.606
228,14.3,4.8,36,22.5,10,E10,0,0,0,0,0.39722222222222225,1.606
229,11.8,4.6,40,22.5,2,E10,0,0,0,0,0.29500000000000004,1.606
230,16.9,4.5,48,22.5,9,E10,0,0,1,0,0.3520833333333333,1.606
231,12.4,4.6,55,22.5,11,E10,0,0,1,0,0.22545454545454546,1.606
232,17.4,4.4,36,22.5,12,E10,0,0,1,0,0.4833333333333333,1.606
233,9.2,5.7,33,22.5,8,E10,0,1,0,0,0.27878787878787875,1.606
234,12.3,5.8,54,22.5,10,E10,0,1,0,0,0.2277777777777778,1.606
235,13.0,5.9,32,22.5,10,E10,0,0,0,0,0.40625,1.606
236,11.8,6.1,16,22.5,6,E10,0,1,0,0,0.7375,1.606
237,13.0,5.7,37,22.5,11,E10,0,1,0,0,0.35135135135135137,1.606
238,12.3,5.0,42,22.5,10,E10,0,0,0,0,0.29285714285714287,1.606
239,12.3,5.2,57,22.5,15,E10,0,0,1,0,0.21578947368421053,1.606
240,12.5,4.3,57,22.5,16,E10,0,0,1,0,0.21929824561403508,1.606
241,31.5,4.1,30,22.5,16,E10,0,0,1,0,1.05,1.606
242,11.8,4.4,42,22.5,8,E10,0,0,0,0,0.28095238095238095,1.606
243,24.9,4.5,53,22.5,14,E10,0,0,0,0,0.46981132075471693,1.606
244,17.0,3.9,46,22.5,14,E10,0,0,1,0,0.3695652173913043,1.606
245,2.0,8.1,20,22.5,14,E10,0,0,0,0,0.1,1.606
246,11.8,4.4,33,22.5,8,E10,0,0,0,0,0.3575757575757576,1.606
247,7.4,5.0,31,22.5,12,E10,0,0,0,0,0.23870967741935484,1.606
248,12.4,4.7,55,22.5,14,E10,0,0,1,0,0.22545454545454546,1.606
249,2.0,6.0,22,22.5,14,E10,0,0,0,0,0.09090909090909091,1.606
250,14.0,5.0,41,22.5,8,E10,0,0,0,0,0.34146341463414637,1.606
251,25.7,5.0,45,22.5,7,E10,0,0,0,0,0.5711111111111111,1.606
252,11.8,4.5,28,22.5,12,E10,0,0,0,0,0.42142857142857143,1.606
253,4.1,5.4,24,22.5,13,E10,0,0,0,0,0.1708333333333333,1.606
254,4.2,5.6,29,22.0,17,E10,0,0,0,0,0.14482758620689656,1.606
255,4.2,3.9,29,22.0,18,E10,0,0,1,0,0.14482758620689656,1.606
256,16.0,4.0,40,22.0,10,E10,0,0,0,0,0.4,1.606
257,15.4,4.5,50,22.0,14,E10,0,0,0,0,0.308,1.606
258,16.0,3.8,41,22.0,12,E10,0,0,0,0,0.3902439024390244,1.606
259,4.2,5.6,32,22.0,18,E10,0,0,0,0,0.13125,1.606
260,101.9,5.2,75,22.0,18,E10,0,0,0,0,1.3586666666666667,1.606
261,93.9,4.8,88,23.0,18,E10,1,0,1,0,1.0670454545454546,1.606
262,25.7,4.9,50,22.0,10,SP98,0,1,0,0,0.514,1.606
263,16.0,4.1,40,22.0,10,SP98,0,0,0,0,0.4,1.606
264,16.1,4.5,32,22.0,19,SP98,0,0,0,0,0.503125,1.606
265,16.0,4.4,40,22.0,7,SP98,1,1,0,0,0.4,1.606
266,16.0,4.5,41,22.0,11,SP98,0,0,0,0,0.3902439024390244,1.606
267,24.7,4.5,26,22.0,10,SP98,0,0,0,0,0.95,1.606
268,16.0,3.9,42,22.0,8,SP98,0,0,0,0,0.38095238095238093,1.606
269,15.4,4.6,43,22.0,16,SP98,0,0,0,0,0.3581395348837209,1.606
270,16.0,3.8,40,22.0,8,SP98,0,0,0,0,0.4,1.606
271,32.1,4.5,50,22.0,16,SP98,0,0,0,0,0.642,1.606
272,25.9,4.4,40,22.0,14,SP98,0,0,0,0,0.6475,1.606
273,48.6,4.3,44,22.0,12,SP98,0,0,0,0,1.1045454545454545,1.606
274,37.2,4.0,45,22.0,20,SP98,0,0,1,0,0.8266666666666668,1.606
275,28.8,3.9,35,22.0,15,SP98,0,0,1,0,0.8228571428571428,1.606
276,6.7,5.0,30,22.0,17,SP98,0,0,0,0,0.22333333333333333,1.606
277,7.4,4.1,25,22.0,18,SP98,0,0,1,0,0.29600000000000004,1.606
278,17.3,4.1,22,22.0,25,SP98,0,0,1,0,0.7863636363636364,1.606
279,6.6,5.6,43,22.0,16,SP98,0,0,0,0,0.15348837209302324,1.606
280,14.3,4.1,26,22.0,20,SP98,0,0,0,0,0.55,1.606
281,13.3,4.6,33,22.0,18,SP98,0,0,0,0,0.40303030303030307,1.606
282,8.3,4.9,26,22.0,23,SP98,0,0,0,0,0.31923076923076926,1.606
283,12.7,4.5,39,22.0,27,SP98,0,0,1,0,0.32564102564102565,1.606
284,16.5,4.1,47,22.0,14,SP98,0,0,0,0,0.35106382978723405,1.606
285,20.6,4.1,38,22.0,21,SP98,0,0,0,0,0.5421052631578948,1.606
286,16.3,4.5,58,22.0,16,SP98,0,0,0,0,0.2810344827586207,1.606
287,18.7,4.2,65,25.0,18,SP98,1,0,1,0,0.2876923076923077,1.606
288,36.5,3.9,54,23.0,18,SP98,0,0,1,0,0.6759259259259259,1.606
289,19.0,5.0,35,22.0,15,SP98,1,0,1,0,0.5428571428571428,1.606
290,16.6,4.4,46,22.0,5,SP98,1,0,0,0,0.36086956521739133,1.606
291,29.9,4.5,32,22.0,18,SP98,1,0,0,0,0.934375,1.606
292,16.0,3.8,42,22.0,11,SP98,0,0,0,0,0.38095238095238093,1.606
293,21.1,5.1,33,22.0,10,SP98,0,1,0,0,0.6393939393939394,1.606
294,16.0,3.9,40,22.0,10,SP98,0,0,0,0,0.4,1.606
295,11.9,5.3,34,22.0,13,SP98,0,0,0,0,0.35000000000000003,1.606
296,10.1,4.2,35,22.0,16,SP98,0,0,0,0,0.28857142857142853,1.606
297,31.9,4.3,33,22.0,16,SP98,0,0,0,0,0.9666666666666667,1.606
298,18.7,4.0,60,22.0,13,SP98,0,0,0,0,0.31166666666666665,1.606
299,10.8,4.7,48,22.0,17,SP98,0,0,1,0,0.225,1.606
300,19.8,4.0,56,22.0,17,SP98,0,0,1,0,0.3535714285714286,1.606
301,11.3,4.3,38,22.0,17,SP98,0,0,0,0,0.2973684210526316,1.606
302,11.5,5.3,53,22.0,15,SP98,0,0,0,0,0.2169811320754717,1.606
303,21.4,5.2,51,22.0,13,SP98,0,0,0,0,0.41960784313725485,1.606
304,32.0,4.9,53,22.0,15,SP98,0,0,0,0,0.6037735849056604,1.606
305,41.9,4.7,53,22.0,14,SP98,0,0,0,0,0.790566037735849,1.606
306,211.0,4.6,80,22.0,20,SP98,0,0,0,0,2.6375,1.606
307,216.1,5.3,90,22.0,21,SP98,0,0,1,0,2.401111111111111,1.606
308,25.5,3.6,27,22.0,27,SP98,0,0,1,0,0.9444444444444444,1.606
309,16.6,4.2,52,22.0,15,SP98,0,1,0,0,0.31923076923076926,1.606
310,25.9,4.1,43,22.0,24,SP98,0,0,0,0,0.6023255813953488,1.606
311,16.5,4.0,48,22.0,15,SP98,0,0,0,0,0.34375,1.606
312,22.1,3.9,29,22.0,26,SP98,0,0,0,0,0.7620689655172415,1.606
313,16.6,3.7,49,22.0,17,E10,0,0,0,0,0.33877551020408164,1.606
314,15.4,4.5,43,22.0,24,E10,0,0,0,0,0.3581395348837209,1.606
315,16.5,3.9,43,22.0,17,E10,0,0,0,0,0.38372093023255816,1.606
316,15.4,5.1,21,22.0,24,E10,0,0,0,0,0.7333333333333334,1.606
317,18.4,4.2,59,22.0,24,E10,0,0,0,0,0.311864406779661,1.606
318,39.5,4.2,58,22.0,25,E10,0,0,0,0,0.6810344827586207,1.606
319,21.5,4.8,47,25.0,27,E10,1,0,1,0,0.4574468085106383,1.606
320,4.8,4.7,26,25.0,18,E10,0,0,0,0,0.1846153846153846,1.606
321,100.9,4.7,87,23.5,22,E10,0,0,0,0,1.1597701149425288,1.606
322,129.7,4.6,58,24.0,21,E10,1,0,0,0,2.236206896551724,1.606
323,16.6,3.8,43,21.5,16,E10,0,0,0,0,0.386046511627907,1.606
324,15.4,4.2,50,21.5,21,E10,0,0,0,0,0.308,1.606
325,16.0,3.7,45,22.0,17,E10,0,0,0,0,0.35555555555555557,1.606
326,16.0,4.2,41,22.0,15,E10,0,0,0,0,0.3902439024390244,1.606
327,15.4,4.1,45,22.0,24,E10,0,0,0,0,0.3422222222222222,1.606
328,16.0,4.0,43,22.0,16,E10,0,0,0,0,0.37209302325581395,1.606
329,21.0,3.8,37,22.0,21,E10,0,0,0,0,0.5675675675675675,1.606
330,15.4,3.8,47,22.0,24,E10,0,0,0,0,0.32765957446808514,1.606
331,16.0,3.8,42,22.0,17,E10,0,0,0,0,0.38095238095238093,1.606
