distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,refill liters,refill gas,snow,time
12.3,5.6,58,21.5,8,E10,0,0,0,0.0,No,0,0.2120689655172414
32.6,4.8,40,21.5,7,E10,0,0,0,0.0,No,0,0.8150000000000001
19.0,4.3,36,21.5,7,E10,0,0,0,0.0,No,0,0.5277777777777778
12.1,5.7,36,21.5,8,E10,0,0,0,0.0,No,0,0.3361111111111111
20.0,5.2,37,21.5,4,E10,0,0,0,0.0,No,0,0.5405405405405406
4.9,7.4,26,21.5,6,E10,0,0,0,0.0,No,0,0.18846153846153849
11.8,4.8,23,21.5,9,E10,0,0,0,0.0,No,0,0.5130434782608696
12.3,6.5,58,21.5,7,E10,0,0,0,0.0,No,0,0.2120689655172414
12.4,4.0,55,21.5,7,E10,1,1,0,0.0,No,0,0.22545454545454546
4.5,5.0,29,21.5,7,E10,1,0,0,0.0,No,0,0.15517241379310345
11.7,4.6,37,21.5,6,E10,0,0,0,0.0,No,0,0.3162162162162162
10.2,4.3,44,21.5,7,E10,0,0,0,0.0,No,0,0.2318181818181818
5.4,3.3,32,21.5,7,SP98,0,0,0,37.6,SP98,0,0.16875
2.0,9.9,21,21.5,4,SP98,0,0,0,0.0,No,0,0.09523809523809523
14.2,5.1,32,21.5,7,SP98,0,0,0,0.0,No,0,0.44375
16.0,4.9,25,21.5,8,SP98,0,0,0,0.0,No,0,0.64
11.8,4.9,25,21.5,11,SP98,0,0,0,0.0,No,0,0.47200000000000003
27.3,4.7,36,21.5,10,SP98,0,0,0,0.0,No,0,0.7583333333333333
11.8,5.1,29,21.5,5,SP98,0,1,0,0.0,No,0,0.40689655172413797
10.6,4.9,63,21.5,6,SP98,0,0,0,0.0,No,0,0.16825396825396824
11.6,4.2,61,21.5,7,SP98,0,0,0,0.0,No,0,0.1901639344262295
13.1,6.1,46,21.5,6,SP98,0,1,0,0.0,No,0,0.28478260869565214
6.1,6.4,28,21.5,8,SP98,0,0,0,0.0,No,0,0.21785714285714283
153.5,4.9,82,21.5,3,SP98,0,1,0,0.0,No,0,1.8719512195121952
11.8,4.9,24,21.5,7,SP98,0,0,0,0.0,No,0,0.4916666666666667
12.3,6.2,61,21.5,8,SP98,0,0,0,0.0,No,0,0.2016393442622951
12.4,4.2,57,21.5,8,SP98,0,0,0,0.0,No,0,0.21754385964912282
12.3,5.7,52,21.5,8,SP98,0,1,0,0.0,No,0,0.23653846153846156
2.9,7.9,18,21.5,9,SP98,1,1,0,0.0,No,0,0.1611111111111111
2.1,12.2,23,21.5,9,SP98,1,1,0,0.0,No,0,0.09130434782608696
9.8,5.8,24,21.5,6,SP98,0,0,0,0.0,No,0,0.4083333333333334
6.8,5.3,26,21.5,6,SP98,0,0,0,0.0,No,0,0.26153846153846155
12.4,5.4,24,21.5,7,SP98,0,0,0,0.0,No,0,0.5166666666666667
12.4,4.7,57,21.5,8,SP98,0,0,0,0.0,No,0,0.21754385964912282
11.8,4.6,41,21.5,6,SP98,0,0,0,0.0,No,0,0.2878048780487805
12.3,5.4,55,21.5,8,SP98,0,0,0,0.0,No,0,0.22363636363636366
14.0,4.3,40,21.5,8,SP98,0,0,0,0.0,No,0,0.35
11.8,4.5,37,21.5,4,SP98,1,0,0,0.0,No,0,0.31891891891891894
12.3,5.2,55,21.5,12,SP98,0,0,0,0.0,No,0,0.22363636363636366
2.0,6.2,20,21.5,10,SP98,0,0,0,0.0,No,0,0.1
13.9,5.1,29,21.5,6,SP98,0,0,0,0.0,No,0,0.4793103448275862
9.7,3.9,42,21.5,8,SP98,0,0,0,0.0,No,0,0.23095238095238094
11.6,5.0,25,21.5,6,SP98,0,0,0,0.0,No,0,0.46399999999999997
14.2,5.4,38,21.5,7,SP98,0,0,0,0.0,No,0,0.3736842105263158
11.8,4.5,39,21.5,6,SP98,0,0,0,0.0,No,0,0.3025641025641026
24.8,5.1,50,21.5,9,SP98,0,0,0,0.0,No,0,0.496
12.4,4.7,56,21.5,7,SP98,0,0,0,0.0,No,0,0.22142857142857145
34.8,4.0,28,20.0,4,SP98,0,0,0,0.0,No,0,1.2428571428571427
14.2,5.4,36,20.0,6,SP98,0,0,0,0.0,No,0,0.39444444444444443
5.2,4.5,39,20.0,10,SP98,0,0,0,0.0,No,0,0.13333333333333333
10.5,3.6,42,20.0,10,SP98,0,0,0,37.7,SP98,0,0.25
12.3,5.2,57,20.0,10,SP98,0,0,0,0.0,No,0,0.21578947368421053
11.8,4.9,25,20.0,11,SP98,0,0,0,0.0,No,0,0.47200000000000003
12.3,6.2,58,20.0,11,SP98,0,1,0,0.0,No,0,0.2120689655172414
13.2,4.3,51,20.0,11,SP98,0,1,0,0.0,No,0,0.2588235294117647
13.0,5.0,45,20.0,11,SP98,0,1,0,0.0,No,0,0.28888888888888886
12.9,5.1,32,20.0,11,SP98,0,0,0,0.0,No,0,0.403125
13.9,5.6,22,20.0,8,SP98,0,0,0,0.0,No,0,0.6318181818181818
11.8,4.3,37,20.0,6,SP98,0,0,0,0.0,No,0,0.31891891891891894
12.2,5.8,60,20.0,11,SP98,0,0,0,0.0,No,0,0.2033333333333333
12.5,4.0,51,20.0,13,SP98,0,0,0,0.0,No,0,0.24509803921568626
12.4,4.7,43,21.929521,10,SP98,0,0,0,0.0,No,0,0.28837209302325584
11.8,5.9,21,20.0,9,SP98,1,1,0,0.0,No,0,0.5619047619047619
11.8,5.3,52,21.929521,11,SP98,0,0,0,0.0,No,0,0.22692307692307695
12.5,4.2,57,20.0,11,SP98,0,0,0,0.0,No,0,0.21929824561403508
15.7,5.3,33,21.929521,9,SP98,0,0,0,0.0,No,0,0.4757575757575757
12.9,5.7,35,21.929521,9,SP98,0,0,0,0.0,No,0,0.3685714285714286
6.4,4.4,37,21.929521,10,SP98,0,0,0,0.0,No,0,0.17297297297297298
5.3,4.1,34,21.929521,9,SP98,0,0,0,0.0,No,0,0.15588235294117647
26.2,5.8,71,21.0,8,SP98,1,1,0,0.0,No,0,0.36901408450704226
18.8,5.0,62,21.929521,9,SP98,0,1,0,0.0,No,0,0.3032258064516129
4.9,6.9,25,21.0,12,SP98,0,1,0,0.0,No,0,0.196
12.4,5.4,18,21.0,11,SP98,1,1,0,0.0,No,0,0.6888888888888889
22.9,5.3,45,20.5,7,SP98,0,0,0,0.0,No,0,0.5088888888888888
162.7,5.5,75,23.0,1,SP98,0,0,0,45.0,SP98,0,2.1693333333333333
4.9,6.5,26,21.0,1,SP98,0,0,0,0.0,No,0,0.18846153846153849
11.8,4.7,36,21.0,4,SP98,0,0,0,0.0,No,0,0.3277777777777778
16.6,5.1,56,21.0,7,SP98,0,0,0,0.0,No,0,0.29642857142857143
12.4,5.7,37,21.0,7,SP98,0,0,0,0.0,No,0,0.33513513513513515
15.9,5.4,25,21.0,7,SP98,0,0,0,0.0,No,0,0.636
5.1,8.7,21,23.5,5,SP98,0,0,0,0.0,No,0,0.24285714285714283
22.4,4.9,66,20.5,7,SP98,0,0,0,0.0,No,0,0.33939393939393936
31.1,4.7,42,20.5,7,SP98,0,0,0,0.0,No,0,0.7404761904761905
4.9,6.3,27,20.5,3,SP98,0,0,0,0.0,No,0,0.1814814814814815
11.8,5.1,26,23.0,4,SP98,0,1,0,0.0,No,0,0.4538461538461539
22.9,6.0,42,23.0,4,SP98,0,1,0,0.0,No,0,0.5452380952380952
12.4,4.6,38,23.0,1,SP98,0,1,0,0.0,No,1,0.3263157894736842
12.9,5.8,40,23.0,4,SP98,0,0,0,0.0,No,0,0.3225
11.8,5.1,43,23.0,0,SP98,0,0,0,0.0,No,0,0.2744186046511628
12.2,5.8,58,23.0,2,SP98,0,0,0,0.0,No,0,0.21034482758620687
24.8,4.6,55,23.0,3,SP98,0,0,0,0.0,No,0,0.4509090909090909
14.2,5.6,24,23.0,8,SP98,0,0,0,0.0,No,0,0.5916666666666667
11.8,4.6,38,23.0,0,SP98,0,1,0,0.0,No,1,0.3105263157894737
12.2,6.3,57,23.0,0,SP98,0,1,0,0.0,No,1,0.21403508771929824
24.7,5.5,56,25.0,1,SP98,0,0,0,0.0,No,0,0.44107142857142856
6.8,4.3,46,24.0,2,SP98,0,0,0,0.0,No,0,0.14782608695652175
17.3,5.6,37,21.5,1,SP98,0,0,0,0.0,No,0,0.46756756756756757
11.8,4.3,44,21.5,-3,SP98,0,0,0,0.0,No,0,0.2681818181818182
15.9,5.7,46,21.5,5,SP98,0,0,0,0.0,No,0,0.3456521739130435
5.1,6.4,39,21.5,4,SP98,0,0,0,0.0,No,0,0.13076923076923075
16.1,4.5,33,21.5,6,SP98,0,0,0,0.0,No,0,0.4878787878787879
11.8,4.5,43,21.5,3,SP98,0,0,0,0.0,No,0,0.2744186046511628
4.2,6.0,26,21.5,5,SP98,0,0,0,0.0,No,0,0.16153846153846155
17.4,5.1,30,21.5,5,SP98,0,0,0,0.0,No,0,0.58
23.5,6.0,25,21.5,5,SP98,0,1,0,0.0,No,0,0.94
11.8,4.5,38,21.5,5,SP98,0,1,0,0.0,No,0,0.3105263157894737
12.3,6.1,61,21.5,10,SP98,0,1,0,0.0,No,0,0.2016393442622951
16.1,5.4,24,21.5,7,E10,0,1,0,38.0,E10,0,0.6708333333333334
11.8,4.3,40,21.5,10,E10,0,1,0,0.0,No,0,0.29500000000000004
12.3,5.4,58,21.5,13,E10,0,0,0,0.0,No,0,0.2120689655172414
12.4,4.3,49,21.5,17,E10,0,0,0,0.0,No,0,0.2530612244897959
7.0,5.2,25,21.5,17,E10,0,0,0,0.0,No,0,0.28
11.8,4.1,37,21.5,10,E10,0,0,0,0.0,No,0,0.31891891891891894
20.1,4.4,41,21.5,18,E10,0,0,0,0.0,No,0,0.49024390243902444
20.8,4.5,45,21.5,10,E10,0,0,0,0.0,No,0,0.46222222222222226
1.7,10.8,14,21.5,10,E10,0,1,0,0.0,No,0,0.12142857142857143
35.9,4.7,45,21.5,12,E10,0,0,0,0.0,No,0,0.7977777777777777
36.9,4.8,52,21.5,5,E10,0,0,0,0.0,No,0,0.7096153846153845
16.8,4.0,46,21.5,8,E10,0,0,0,0.0,No,0,0.3652173913043478
9.9,5.0,28,21.5,9,E10,0,0,0,0.0,No,0,0.3535714285714286
22.9,4.6,61,21.5,7,E10,0,1,0,0.0,No,0,0.37540983606557377
17.3,5.0,61,21.5,6,E10,1,1,0,0.0,No,0,0.2836065573770492
11.8,4.3,37,21.5,7,E10,0,0,0,0.0,No,0,0.31891891891891894
36.6,5.2,80,21.5,7,E10,0,1,0,0.0,No,0,0.4575
44.9,4.7,62,21.5,8,E10,0,0,0,0.0,No,0,0.7241935483870967
11.8,4.2,34,21.5,9,E10,0,1,0,0.0,No,0,0.3470588235294118
21.6,5.3,44,21.5,9,E10,0,1,0,0.0,No,0,0.49090909090909096
39.4,5.3,60,21.5,9,E10,0,1,0,0.0,No,0,0.6566666666666666
5.1,8.1,39,21.5,4,E10,0,0,0,0.0,No,0,0.13076923076923075
26.6,4.8,38,21.5,7,E10,0,0,0,0.0,No,0,0.7000000000000001
53.2,5.1,71,21.5,2,E10,0,0,0,0.0,No,0,0.7492957746478873
18.9,4.4,53,21.5,2,E10,0,0,0,0.0,No,0,0.35660377358490564
43.5,5.0,80,21.5,3,E10,0,0,0,0.0,No,0,0.54375
6.1,6.3,26,21.5,5,E10,0,0,0,0.0,No,0,0.23461538461538461
16.4,4.8,49,21.5,5,E10,0,0,0,0.0,No,0,0.33469387755102037
12.3,6.1,40,21.5,6,E10,0,0,0,0.0,No,0,0.3075
21.1,4.6,36,21.5,8,E10,0,0,0,0.0,No,0,0.5861111111111111
21.1,4.8,43,21.5,7,E10,0,0,0,0.0,No,0,0.4906976744186047
22.7,4.7,55,21.5,6,E10,0,0,0,0.0,No,0,0.4127272727272727
44.4,4.8,38,21.5,8,E10,0,0,0,38.3,E10,0,1.1684210526315788
35.8,4.4,51,21.5,6,E10,0,0,0,0.0,No,0,0.7019607843137254
11.8,4.9,44,21.5,0,E10,0,0,0,0.0,No,0,0.2681818181818182
26.2,4.9,42,21.5,6,E10,0,0,0,0.0,No,0,0.6238095238095238
40.6,4.4,44,21.0,3,E10,0,0,0,0.0,No,0,0.9227272727272727
12.4,5.3,38,21.0,-5,E10,0,0,0,0.0,No,0,0.3263157894736842
14.1,5.3,47,21.0,-3,E10,0,0,0,0.0,No,0,0.3
58.7,4.8,75,21.0,0,E10,0,0,0,0.0,No,0,0.7826666666666667
16.2,5.2,29,21.0,0,E10,0,0,0,0.0,No,0,0.5586206896551724
12.3,4.9,50,22.5,0,E10,0,0,0,0.0,No,0,0.24600000000000002
12.3,7.1,52,22.5,0,E10,1,1,0,0.0,No,1,0.23653846153846156
12.4,5.2,51,22.5,1,E10,0,0,0,0.0,No,0,0.24313725490196078
31.8,4.7,59,22.5,3,E10,0,0,0,0.0,No,0,0.5389830508474577
12.3,5.1,55,22.5,8,E10,0,0,0,0.0,No,0,0.22363636363636366
51.6,5.0,73,22.5,12,E10,0,0,0,0.0,No,0,0.7068493150684931
38.6,4.6,44,22.5,10,E10,0,0,0,0.0,No,0,0.8772727272727273
12.3,4.8,41,22.5,7,E10,0,0,0,0.0,No,0,0.30000000000000004
81.2,4.4,69,22.0,13,E10,0,0,0,0.0,No,0,1.1768115942028985
130.3,4.6,85,22.0,12,E10,0,0,0,0.0,No,0,1.5329411764705885
67.2,4.3,67,22.0,18,E10,0,0,0,0.0,No,0,1.0029850746268658
43.7,4.7,44,22.0,9,SP98,0,1,0,10.0,SP98,0,0.9931818181818183
12.1,4.2,43,22.0,4,SP98,0,0,0,39.0,SP98,0,0.2813953488372093
56.1,4.8,82,22.0,13,SP98,0,0,0,0.0,No,0,0.6841463414634147
39.0,4.1,61,22.0,16,SP98,0,0,0,0.0,No,0,0.639344262295082
11.8,4.5,41,21.5,13,SP98,0,0,0,0.0,No,0,0.2878048780487805
38.5,4.8,63,21.5,14,SP98,0,0,0,0.0,No,0,0.6111111111111112
28.2,4.6,54,21.5,14,SP98,0,0,0,0.0,No,0,0.5222222222222223
2.9,7.4,24,21.5,14,SP98,0,0,0,0.0,No,0,0.12083333333333333
6.1,5.6,24,21.5,13,SP98,0,0,0,0.0,No,0,0.25416666666666665
19.6,4.9,43,21.5,13,SP98,0,0,0,0.0,No,0,0.4558139534883721
22.2,3.8,42,21.929521,15,SP98,0,0,0,0.0,No,0,0.5285714285714286
13.6,4.5,44,19.0,18,SP98,0,0,0,0.0,No,0,0.3090909090909091
12.6,4.1,33,21.929521,17,SP98,0,0,0,0.0,No,0,0.38181818181818183
8.7,5.3,28,22.5,12,SP98,1,1,0,0.0,No,0,0.31071428571428567
7.9,4.7,31,22.5,12,SP98,1,0,0,0.0,No,0,0.25483870967741934
2.4,9.0,26,20.0,10,SP98,0,0,0,0.0,No,0,0.0923076923076923
4.9,6.3,26,20.0,10,SP98,0,0,0,0.0,No,0,0.18846153846153849
18.1,3.6,36,20.0,19,SP98,0,0,0,0.0,No,0,0.5027777777777778
25.9,3.7,39,20.0,21,SP98,0,0,0,0.0,No,0,0.6641025641025641
1.3,11.5,21,20.0,10,SP98,0,0,0,0.0,No,0,0.06190476190476191
14.1,5.0,22,20.0,12,SP98,0,0,0,0.0,No,0,0.6409090909090909
13.4,5.5,31,20.0,9,SP98,0,0,0,0.0,No,0,0.432258064516129
6.4,4.7,33,20.0,8,SP98,0,0,0,0.0,No,0,0.19393939393939394
12.9,4.5,42,20.0,13,SP98,0,0,0,0.0,No,0,0.30714285714285716
12.1,4.4,33,22.5,5,SP98,0,0,0,0.0,No,0,0.36666666666666664
15.7,4.1,32,22.5,13,SP98,0,0,0,0.0,No,0,0.490625
16.2,4.4,26,22.5,11,SP98,0,0,0,0.0,No,0,0.6230769230769231
12.8,4.6,22,22.5,12,SP98,0,0,0,0.0,No,0,0.5818181818181819
19.0,4.4,58,22.5,17,SP98,0,0,1,0.0,No,0,0.3275862068965517
29.0,4.0,27,22.5,12,SP98,0,0,0,0.0,No,0,1.0740740740740742
12.1,5.0,32,22.5,9,SP98,0,0,0,0.0,No,0,0.378125
12.3,5.2,55,22.5,10,SP98,0,0,0,0.0,No,0,0.22363636363636366
24.8,4.0,56,22.5,11,SP98,0,0,0,0.0,No,0,0.4428571428571429
12.9,5.1,34,22.5,8,SP98,0,1,0,0.0,No,0,0.37941176470588234
11.8,4.5,39,22.5,3,SP98,0,0,0,0.0,No,0,0.3025641025641026
31.4,4.6,62,22.5,11,SP98,0,0,0,0.0,No,0,0.5064516129032258
19.0,5.1,53,22.5,4,SP98,0,1,0,0.0,No,0,0.3584905660377358
13.0,5.7,38,22.5,3,SP98,1,1,0,0.0,No,0,0.34210526315789475
11.8,4.8,42,22.5,2,SP98,0,0,0,0.0,No,0,0.28095238095238095
13.0,6.2,32,22.5,4,SP98,0,0,0,0.0,No,0,0.40625
11.8,5.0,43,22.5,1,SP98,0,0,0,0.0,No,0,0.2744186046511628
27.1,5.0,69,22.5,8,SP98,0,0,0,0.0,No,0,0.39275362318840584
5.2,4.6,38,22.5,8,SP98,0,0,0,0.0,No,0,0.1368421052631579
19.0,4.5,29,22.5,10,E10,0,0,0,39.0,E10,0,0.6551724137931034
12.4,4.8,38,22.5,1,E10,0,0,0,0.0,No,0,0.3263157894736842
25.2,5.0,55,22.5,9,E10,0,0,0,0.0,No,0,0.4581818181818182
14.3,4.8,36,22.5,10,E10,0,0,0,0.0,No,0,0.39722222222222225
11.8,4.6,40,22.5,2,E10,0,0,0,0.0,No,0,0.29500000000000004
16.9,4.5,48,22.5,9,E10,0,0,1,0.0,No,0,0.3520833333333333
12.4,4.6,55,22.5,11,E10,0,0,1,0.0,No,0,0.22545454545454546
17.4,4.4,36,22.5,12,E10,0,0,1,0.0,No,0,0.4833333333333333
9.2,5.7,33,22.5,8,E10,0,1,0,0.0,No,0,0.27878787878787875
12.3,5.8,54,22.5,10,E10,0,1,0,0.0,No,0,0.2277777777777778
13.0,5.9,32,22.5,10,E10,0,0,0,0.0,No,0,0.40625
11.8,6.1,16,22.5,6,E10,0,1,0,0.0,No,0,0.7375
13.0,5.7,37,22.5,11,E10,0,1,0,0.0,No,0,0.35135135135135137
12.3,5.0,42,22.5,10,E10,0,0,0,0.0,No,0,0.29285714285714287
12.3,5.2,57,22.5,15,E10,0,0,1,0.0,No,0,0.21578947368421053
12.5,4.3,57,22.5,16,E10,0,0,1,0.0,No,0,0.21929824561403508
31.5,4.1,30,22.5,16,E10,0,0,1,0.0,No,0,1.05
11.8,4.4,42,22.5,8,E10,0,0,0,0.0,No,0,0.28095238095238095
24.9,4.5,53,22.5,14,E10,0,0,0,0.0,No,0,0.46981132075471693
17.0,3.9,46,22.5,14,E10,0,0,1,0.0,No,0,0.3695652173913043
2.0,8.1,20,22.5,14,E10,0,0,0,0.0,No,0,0.1
11.8,4.4,33,22.5,8,E10,0,0,0,0.0,No,0,0.3575757575757576
7.4,5.0,31,22.5,12,E10,0,0,0,0.0,No,0,0.23870967741935484
12.4,4.7,55,22.5,14,E10,0,0,1,0.0,No,0,0.22545454545454546
2.0,6.0,22,22.5,14,E10,0,0,0,0.0,No,0,0.09090909090909091
14.0,5.0,41,22.5,8,E10,0,0,0,0.0,No,0,0.34146341463414637
25.7,5.0,45,22.5,7,E10,0,0,0,0.0,No,0,0.5711111111111111
24.5,3.9,50,21.929521,15,E10,0,0,1,0.0,No,0,0.49
11.8,4.5,28,22.5,12,E10,0,0,0,0.0,No,0,0.42142857142857143
4.1,5.4,24,22.5,13,E10,0,0,0,0.0,No,0,0.1708333333333333
4.2,5.6,29,22.0,17,E10,0,0,0,0.0,No,0,0.14482758620689656
4.2,3.9,29,22.0,18,E10,0,0,1,0.0,No,0,0.14482758620689656
16.0,4.0,40,22.0,10,E10,0,0,0,0.0,No,0,0.4
22.9,4.0,29,21.929521,21,E10,0,0,0,0.0,No,0,0.789655172413793
16.0,3.8,42,21.929521,8,E10,0,0,0,0.0,No,0,0.38095238095238093
15.4,4.5,50,22.0,14,E10,0,0,0,0.0,No,0,0.308
16.0,3.8,41,22.0,12,E10,0,0,0,0.0,No,0,0.3902439024390244
4.2,5.6,32,22.0,18,E10,0,0,0,0.0,No,0,0.13125
101.9,5.2,75,22.0,18,E10,0,0,0,0.0,No,0,1.3586666666666667
93.9,4.8,88,23.0,18,E10,1,0,1,0.0,No,0,1.0670454545454546
25.7,4.9,50,22.0,10,SP98,0,1,0,41.0,SP98,0,0.514
16.0,4.1,40,22.0,10,SP98,0,0,0,0.0,No,0,0.4
16.1,4.5,32,22.0,19,SP98,0,0,0,0.0,No,0,0.503125
16.0,4.4,40,22.0,7,SP98,1,1,0,0.0,No,0,0.4
16.0,4.5,41,22.0,11,SP98,0,0,0,0.0,No,0,0.3902439024390244
24.7,4.5,26,22.0,10,SP98,0,0,0,0.0,No,0,0.95
16.0,3.9,42,22.0,8,SP98,0,0,0,0.0,No,0,0.38095238095238093
15.4,4.6,43,22.0,16,SP98,0,0,0,0.0,No,0,0.3581395348837209
16.0,3.8,40,22.0,8,SP98,0,0,0,0.0,No,0,0.4
32.1,4.5,50,22.0,16,SP98,0,0,0,0.0,No,0,0.642
25.9,4.4,40,22.0,14,SP98,0,0,0,0.0,No,0,0.6475
48.6,4.3,44,22.0,12,SP98,0,0,0,0.0,No,0,1.1045454545454545
37.2,4.0,45,22.0,20,SP98,0,0,1,0.0,No,0,0.8266666666666668
28.8,3.9,35,22.0,15,SP98,0,0,1,0.0,No,0,0.8228571428571428
6.7,5.0,30,22.0,17,SP98,0,0,0,0.0,No,0,0.22333333333333333
7.4,4.1,25,22.0,18,SP98,0,0,1,0.0,No,0,0.29600000000000004
17.3,4.1,22,22.0,25,SP98,0,0,1,0.0,No,0,0.7863636363636364
6.6,5.6,43,22.0,16,SP98,0,0,0,0.0,No,0,0.15348837209302324
14.3,4.1,26,22.0,20,SP98,0,0,0,0.0,No,0,0.55
13.3,4.6,33,22.0,18,SP98,0,0,0,0.0,No,0,0.40303030303030307
8.3,4.9,26,22.0,23,SP98,0,0,0,0.0,No,0,0.31923076923076926
12.7,4.5,39,22.0,27,SP98,0,0,1,0.0,No,0,0.32564102564102565
16.5,4.1,47,22.0,14,SP98,0,0,0,0.0,No,0,0.35106382978723405
20.6,4.1,38,22.0,21,SP98,0,0,0,0.0,No,0,0.5421052631578948
16.3,4.5,58,22.0,16,SP98,0,0,0,0.0,No,0,0.2810344827586207
18.7,4.2,65,25.0,18,SP98,1,0,1,0.0,No,0,0.2876923076923077
36.5,3.9,54,23.0,18,SP98,0,0,1,0.0,No,0,0.6759259259259259
19.0,5.0,35,22.0,15,SP98,1,0,1,0.0,No,0,0.5428571428571428
16.6,4.4,46,22.0,5,SP98,1,0,0,0.0,No,0,0.36086956521739133
29.9,4.5,32,22.0,18,SP98,1,0,0,0.0,No,0,0.934375
16.0,3.8,42,22.0,11,SP98,0,0,0,0.0,No,0,0.38095238095238093
21.1,5.1,33,22.0,10,SP98,0,1,0,0.0,No,0,0.6393939393939394
16.0,3.9,40,22.0,10,SP98,0,0,0,0.0,No,0,0.4
11.9,5.3,34,22.0,13,SP98,0,0,0,0.0,No,0,0.35000000000000003
10.1,4.2,35,22.0,16,SP98,0,0,0,0.0,No,0,0.28857142857142853
31.9,4.3,33,22.0,16,SP98,0,0,0,0.0,No,0,0.9666666666666667
18.7,4.0,60,22.0,13,SP98,0,0,0,0.0,No,0,0.31166666666666665
10.8,4.7,48,22.0,17,SP98,0,0,1,0.0,No,0,0.225
19.8,4.0,56,22.0,17,SP98,0,0,1,0.0,No,0,0.3535714285714286
11.3,4.3,38,22.0,17,SP98,0,0,0,37.0,SP98,0,0.2973684210526316
11.5,5.3,53,22.0,15,SP98,0,0,0,0.0,No,0,0.2169811320754717
21.4,5.2,51,22.0,13,SP98,0,0,0,0.0,No,0,0.41960784313725485
32.0,4.9,53,22.0,15,SP98,0,0,0,0.0,No,0,0.6037735849056604
41.9,4.7,53,22.0,14,SP98,0,0,0,0.0,No,0,0.790566037735849
211.0,4.6,80,22.0,20,SP98,0,0,0,0.0,No,0,2.6375
216.1,5.3,90,22.0,21,SP98,0,0,1,0.0,No,0,2.401111111111111
25.5,3.6,27,22.0,27,SP98,0,0,1,0.0,No,0,0.9444444444444444
16.6,4.2,52,22.0,15,SP98,0,1,0,0.0,No,0,0.31923076923076926
25.9,4.1,43,22.0,24,SP98,0,0,0,0.0,No,0,0.6023255813953488
16.5,4.0,48,22.0,15,SP98,0,0,0,0.0,No,0,0.34375
22.1,3.9,29,22.0,26,SP98,0,0,0,0.0,No,0,0.7620689655172415
16.6,3.7,49,22.0,17,E10,0,0,0,37.7,E10,0,0.33877551020408164
15.4,4.5,43,22.0,24,E10,0,0,0,0.0,No,0,0.3581395348837209
16.5,3.9,43,22.0,17,E10,0,0,0,0.0,No,0,0.38372093023255816
15.4,5.1,21,22.0,24,E10,0,0,0,0.0,No,0,0.7333333333333334
18.4,4.2,59,22.0,24,E10,0,0,0,0.0,No,0,0.311864406779661
39.5,4.2,58,22.0,25,E10,0,0,0,0.0,No,0,0.6810344827586207
