distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,snow,temp_gradient,gas_price,con_dis,price_dis
12.4,5.4,24,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.43548387096774194,0.8505
12.4,4.7,57,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.3790322580645161,0.7402500000000001
11.8,4.6,41,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.38983050847457623,0.7613389830508475
12.3,5.4,55,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.43902439024390244,0.8574146341463414
14.0,4.3,40,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.3071428571428571,0.59985
11.8,4.5,37,21.5,4,SP98,True,False,False,False,-17.5,1.953,0.3813559322033898,0.7447881355932203
12.3,5.2,55,21.5,12,SP98,False,False,False,False,-9.5,1.953,0.4227642276422764,0.8256585365853658
2.0,6.2,20,21.5,10,SP98,False,False,False,False,-11.5,1.953,3.1,6.0543000000000005
13.9,5.1,29,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.3669064748201438,0.7165683453237409
9.7,3.9,42,21.5,8,SP98,False,False,False,False,-13.5,1.953,0.4020618556701031,0.7852268041237114
11.6,5.0,25,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.4310344827586207,0.8418103448275863
14.2,5.4,38,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.3802816901408451,0.7426901408450706
11.8,4.5,39,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.3813559322033898,0.7447881355932203
24.8,5.1,50,21.5,9,SP98,False,False,False,False,-12.5,1.953,0.20564516129032256,0.401625
12.4,4.7,56,21.5,7,SP98,False,False,False,False,-14.5,1.953,0.3790322580645161,0.7402500000000001
34.8,4.0,28,20.0,4,SP98,False,False,False,False,-16.0,1.953,0.1149425287356322,0.2244827586206897
14.2,5.4,36,20.0,6,SP98,False,False,False,False,-14.0,1.953,0.3802816901408451,0.7426901408450706
5.2,4.5,39,20.0,10,SP98,False,False,False,False,-10.0,1.953,0.8653846153846153,1.6900961538461539
10.5,3.6,42,20.0,10,SP98,False,False,False,False,-10.0,1.953,0.34285714285714286,0.6696000000000001
12.3,5.2,57,20.0,10,SP98,False,False,False,False,-10.0,1.953,0.4227642276422764,0.8256585365853658
11.8,4.9,25,20.0,11,SP98,False,False,False,False,-9.0,1.953,0.4152542372881356,0.8109915254237289
12.3,6.2,58,20.0,11,SP98,False,True,False,False,-9.0,1.953,0.5040650406504065,0.9844390243902439
13.2,4.3,51,20.0,11,SP98,False,True,False,False,-9.0,1.953,0.32575757575757575,0.6362045454545454
13.0,5.0,45,20.0,11,SP98,False,True,False,False,-9.0,1.953,0.38461538461538464,0.7511538461538462
12.9,5.1,32,20.0,11,SP98,False,False,False,False,-9.0,1.953,0.3953488372093023,0.7721162790697674
13.9,5.6,22,20.0,8,SP98,False,False,False,False,-12.0,1.953,0.40287769784172656,0.786820143884892
11.8,4.3,37,20.0,6,SP98,False,False,False,False,-14.0,1.953,0.3644067796610169,0.711686440677966
12.2,5.8,60,20.0,11,SP98,False,False,False,False,-9.0,1.953,0.4754098360655738,0.9284754098360657
12.5,4.0,51,20.0,13,SP98,False,False,False,False,-7.0,1.953,0.32,0.6249600000000001
12.4,4.7,43,21.5,10,SP98,False,False,False,False,-11.5,1.953,0.3790322580645161,0.7402500000000001
11.8,5.9,21,20.0,9,SP98,True,True,False,False,-11.0,1.953,0.5,0.9765
11.8,5.3,52,21.5,11,SP98,False,False,False,False,-10.5,1.953,0.4491525423728813,0.8771949152542372
12.5,4.2,57,20.0,11,SP98,False,False,False,False,-9.0,1.953,0.336,0.656208
15.7,5.3,33,21.5,9,SP98,False,False,False,False,-12.5,1.953,0.3375796178343949,0.6592929936305733
12.9,5.7,35,21.5,9,SP98,False,False,False,False,-12.5,1.953,0.4418604651162791,0.8629534883720931
6.4,4.4,37,21.5,10,SP98,False,False,False,False,-11.5,1.953,0.6875,1.3426875
5.3,4.1,34,21.5,9,SP98,False,False,False,False,-12.5,1.953,0.7735849056603773,1.510811320754717
26.2,5.8,71,21.0,8,SP98,True,True,False,False,-13.0,1.953,0.22137404580152673,0.4323435114503817
18.8,5.0,62,21.5,9,SP98,False,True,False,False,-12.5,1.953,0.26595744680851063,0.5194148936170213
4.9,6.9,25,21.0,12,SP98,False,True,False,False,-9.0,1.953,1.4081632653061225,2.7501428571428574
12.4,5.4,18,21.0,11,SP98,True,True,False,False,-10.0,1.953,0.43548387096774194,0.8505
22.9,5.3,45,20.5,7,SP98,False,False,False,False,-13.5,1.953,0.2314410480349345,0.4520043668122271
162.7,5.5,75,23.0,1,SP98,False,False,False,False,-22.0,1.953,0.03380454824830977,0.06602028272894898
4.9,6.5,26,21.0,1,SP98,False,False,False,False,-20.0,1.953,1.3265306122448979,2.5907142857142857
11.8,4.7,36,21.0,4,SP98,False,False,False,False,-17.0,1.953,0.3983050847457627,0.7778898305084746
16.6,5.1,56,21.0,7,SP98,False,False,False,False,-14.0,1.953,0.30722891566265054,0.6000180722891565
12.4,5.7,37,21.0,7,SP98,False,False,False,False,-14.0,1.953,0.4596774193548387,0.89775
15.9,5.4,25,21.0,7,SP98,False,False,False,False,-14.0,1.953,0.339622641509434,0.6632830188679246
5.1,8.7,21,23.5,5,SP98,False,False,False,False,-18.5,1.953,1.7058823529411764,3.3315882352941175
22.4,4.9,66,20.5,7,SP98,False,False,False,False,-13.5,1.953,0.21875000000000003,0.4272187500000001
31.1,4.7,42,20.5,7,SP98,False,False,False,False,-13.5,1.953,0.15112540192926044,0.2951479099678456
4.9,6.3,27,20.5,3,SP98,False,False,False,False,-17.5,1.953,1.2857142857142856,2.5109999999999997
11.8,5.1,26,23.0,4,SP98,False,True,False,False,-19.0,1.953,0.43220338983050843,0.844093220338983
22.9,6.0,42,23.0,4,SP98,False,True,False,False,-19.0,1.953,0.26200873362445415,0.511703056768559
12.4,4.6,38,23.0,1,SP98,False,True,False,True,-22.0,1.953,0.3709677419354838,0.7244999999999999
12.9,5.8,40,23.0,4,SP98,False,False,False,False,-19.0,1.953,0.44961240310077516,0.878093023255814
11.8,5.1,43,23.0,0,SP98,False,False,False,False,-23.0,1.953,0.43220338983050843,0.844093220338983
12.2,5.8,58,23.0,2,SP98,False,False,False,False,-21.0,1.953,0.4754098360655738,0.9284754098360657
24.8,4.6,55,23.0,3,SP98,False,False,False,False,-20.0,1.953,0.1854838709677419,0.36224999999999996
14.2,5.6,24,23.0,8,SP98,False,False,False,False,-15.0,1.953,0.39436619718309857,0.7701971830985915
11.8,4.6,38,23.0,0,SP98,False,True,False,True,-23.0,1.953,0.38983050847457623,0.7613389830508475
12.2,6.3,57,23.0,0,SP98,False,True,False,True,-23.0,1.953,0.5163934426229508,1.0085163934426231
24.7,5.5,56,25.0,1,SP98,False,False,False,False,-24.0,1.953,0.22267206477732795,0.43487854251012154
6.8,4.3,46,24.0,2,SP98,False,False,False,False,-22.0,1.953,0.6323529411764706,1.2349852941176471
17.3,5.6,37,21.5,1,SP98,False,False,False,False,-20.5,1.953,0.32369942196531787,0.6321849710982658
11.8,4.3,44,21.5,-3,SP98,False,False,False,False,-24.5,1.953,0.3644067796610169,0.711686440677966
15.9,5.7,46,21.5,5,SP98,False,False,False,False,-16.5,1.953,0.3584905660377358,0.7001320754716981
5.1,6.4,39,21.5,4,SP98,False,False,False,False,-17.5,1.953,1.254901960784314,2.4508235294117653
16.1,4.5,33,21.5,6,SP98,False,False,False,False,-15.5,1.953,0.2795031055900621,0.5458695652173913
11.8,4.5,43,21.5,3,SP98,False,False,False,False,-18.5,1.953,0.3813559322033898,0.7447881355932203
4.2,6.0,26,21.5,5,SP98,False,False,False,False,-16.5,1.953,1.4285714285714286,2.79
17.4,5.1,30,21.5,5,SP98,False,False,False,False,-16.5,1.953,0.2931034482758621,0.5724310344827587
23.5,6.0,25,21.5,5,SP98,False,True,False,False,-16.5,1.953,0.2553191489361702,0.49863829787234043
11.8,4.5,38,21.5,5,SP98,False,True,False,False,-16.5,1.953,0.3813559322033898,0.7447881355932203
12.3,6.1,61,21.5,10,SP98,False,True,False,False,-11.5,1.953,0.4959349593495934,0.968560975609756
16.1,5.4,24,21.5,7,E10,False,True,False,False,-14.5,1.823,0.3354037267080745,0.6114409937888198
11.8,4.3,40,21.5,10,E10,False,True,False,False,-11.5,1.823,0.3644067796610169,0.6643135593220338
12.3,5.4,58,21.5,13,E10,False,False,False,False,-8.5,1.823,0.43902439024390244,0.8003414634146341
12.4,4.3,49,21.5,17,E10,False,False,False,False,-4.5,1.823,0.34677419354838707,0.6321693548387096
7.0,5.2,25,21.5,17,E10,False,False,False,False,-4.5,1.823,0.7428571428571429,1.3542285714285713
11.8,4.1,37,21.5,10,E10,False,False,False,False,-11.5,1.823,0.34745762711864403,0.6334152542372881
20.1,4.4,41,21.5,18,E10,False,False,False,False,-3.5,1.823,0.21890547263681592,0.3990646766169154
20.8,4.5,45,21.5,10,E10,False,False,False,False,-11.5,1.823,0.21634615384615383,0.3943990384615384
1.7,10.8,14,21.5,10,E10,False,True,False,False,-11.5,1.823,6.352941176470589,11.581411764705884
35.9,4.7,45,21.5,12,E10,False,False,False,False,-9.5,1.823,0.13091922005571033,0.23866573816155992
36.9,4.8,52,21.5,5,E10,False,False,False,False,-16.5,1.823,0.13008130081300814,0.23713821138211383
16.8,4.0,46,21.5,8,E10,False,False,False,False,-13.5,1.823,0.23809523809523808,0.434047619047619
9.9,5.0,28,21.5,9,E10,False,False,False,False,-12.5,1.823,0.5050505050505051,0.9207070707070707
22.9,4.6,61,21.5,7,E10,False,True,False,False,-14.5,1.823,0.20087336244541484,0.36619213973799125
17.3,5.0,61,21.5,6,E10,True,True,False,False,-15.5,1.823,0.2890173410404624,0.526878612716763
11.8,4.3,37,21.5,7,E10,False,False,False,False,-14.5,1.823,0.3644067796610169,0.6643135593220338
36.6,5.2,80,21.5,7,E10,False,True,False,False,-14.5,1.823,0.14207650273224043,0.2590054644808743
44.9,4.7,62,21.5,8,E10,False,False,False,False,-13.5,1.823,0.1046770601336303,0.19082628062360804
11.8,4.2,34,21.5,9,E10,False,True,False,False,-12.5,1.823,0.3559322033898305,0.648864406779661
21.6,5.3,44,21.5,9,E10,False,True,False,False,-12.5,1.823,0.24537037037037035,0.4473101851851851
39.4,5.3,60,21.5,9,E10,False,True,False,False,-12.5,1.823,0.13451776649746192,0.24522588832487308
5.1,8.1,39,21.5,4,E10,False,False,False,False,-17.5,1.823,1.5882352941176472,2.895352941176471
26.6,4.8,38,21.5,7,E10,False,False,False,False,-14.5,1.823,0.18045112781954886,0.32896240601503757
53.2,5.1,71,21.5,2,E10,False,False,False,False,-19.5,1.823,0.09586466165413533,0.1747612781954887
18.9,4.4,53,21.5,2,E10,False,False,False,False,-19.5,1.823,0.23280423280423285,0.42440211640211645
43.5,5.0,80,21.5,3,E10,False,False,False,False,-18.5,1.823,0.11494252873563218,0.20954022988505747
6.1,6.3,26,21.5,5,E10,False,False,False,False,-16.5,1.823,1.0327868852459017,1.8827704918032786
16.4,4.8,49,21.5,5,E10,False,False,False,False,-16.5,1.823,0.29268292682926833,0.5335609756097561
12.3,6.1,40,21.5,6,E10,False,False,False,False,-15.5,1.823,0.4959349593495934,0.9040894308943088
21.1,4.6,36,21.5,8,E10,False,False,False,False,-13.5,1.823,0.21800947867298576,0.397431279620853
21.1,4.8,43,21.5,7,E10,False,False,False,False,-14.5,1.823,0.22748815165876776,0.4147109004739336
22.7,4.7,55,21.5,6,E10,False,False,False,False,-15.5,1.823,0.20704845814977976,0.3774493392070485
44.4,4.8,38,21.5,8,E10,False,False,False,False,-13.5,1.823,0.10810810810810811,0.19708108108108108
35.8,4.4,51,21.5,6,E10,False,False,False,False,-15.5,1.823,0.12290502793296092,0.22405586592178775
11.8,4.9,44,21.5,0,E10,False,False,False,False,-21.5,1.823,0.4152542372881356,0.7570084745762712
26.2,4.9,42,21.5,6,E10,False,False,False,False,-15.5,1.823,0.18702290076335878,0.3409427480916031
40.6,4.4,44,21.0,3,E10,False,False,False,False,-18.0,1.823,0.10837438423645321,0.19756650246305418
12.4,5.3,38,21.0,-5,E10,False,False,False,False,-26.0,1.823,0.42741935483870963,0.7791854838709676
14.1,5.3,47,21.0,-3,E10,False,False,False,False,-24.0,1.823,0.375886524822695,0.6852411347517731
58.7,4.8,75,21.0,0,E10,False,False,False,False,-21.0,1.823,0.0817717206132879,0.14906984667802384
16.2,5.2,29,21.0,0,E10,False,False,False,False,-21.0,1.823,0.3209876543209877,0.5851604938271605
12.3,4.9,50,22.5,0,E10,False,False,False,False,-22.5,1.823,0.3983739837398374,0.7262357723577235
12.3,7.1,52,22.5,0,E10,True,True,False,True,-22.5,1.823,0.5772357723577235,1.05230081300813
12.4,5.2,51,22.5,1,E10,False,False,False,False,-21.5,1.823,0.41935483870967744,0.764483870967742
31.8,4.7,59,22.5,3,E10,False,False,False,False,-19.5,1.823,0.14779874213836477,0.26943710691823897
12.3,5.1,55,22.5,8,E10,False,False,False,False,-14.5,1.823,0.41463414634146334,0.7558780487804877
51.6,5.0,73,22.5,12,E10,False,False,False,False,-10.5,1.823,0.09689922480620154,0.1766472868217054
38.6,4.6,44,22.5,10,E10,False,False,False,False,-12.5,1.823,0.11917098445595854,0.21724870466321242
12.3,4.8,41,22.5,7,E10,False,False,False,False,-15.5,1.823,0.39024390243902435,0.7114146341463413
81.2,4.4,69,22.0,13,E10,False,False,False,False,-9.0,1.823,0.054187192118226604,0.09878325123152709
130.3,4.6,85,22.0,12,E10,False,False,False,False,-10.0,1.823,0.03530314658480429,0.06435763622409822
67.2,4.3,67,22.0,18,E10,False,False,False,False,-4.0,1.823,0.06398809523809523,0.1166502976190476
43.7,4.7,44,22.0,9,SP98,False,True,False,False,-13.0,1.953,0.10755148741418764,0.21004805491990847
12.1,4.2,43,22.0,4,SP98,False,False,False,False,-18.0,1.953,0.34710743801652894,0.677900826446281
56.1,4.8,82,22.0,13,SP98,False,False,False,False,-9.0,1.953,0.0855614973262032,0.16710160427807486
39.0,4.1,61,22.0,16,SP98,False,False,False,False,-6.0,1.953,0.10512820512820512,0.2053153846153846
11.8,4.5,41,21.5,13,SP98,False,False,False,False,-8.5,1.953,0.3813559322033898,0.7447881355932203
38.5,4.8,63,21.5,14,SP98,False,False,False,False,-7.5,1.953,0.12467532467532468,0.2434909090909091
28.2,4.6,54,21.5,14,SP98,False,False,False,False,-7.5,1.953,0.1631205673758865,0.31857446808510637
2.9,7.4,24,21.5,14,SP98,False,False,False,False,-7.5,1.953,2.5517241379310347,4.983517241379311
6.1,5.6,24,21.5,13,SP98,False,False,False,False,-8.5,1.953,0.9180327868852459,1.7929180327868854
19.6,4.9,43,21.5,13,SP98,False,False,False,False,-8.5,1.953,0.25,0.48825
22.2,3.8,42,21.5,15,SP98,False,False,False,False,-6.5,1.953,0.17117117117117117,0.3342972972972973
13.6,4.5,44,19.0,18,SP98,False,False,False,False,-1.0,1.953,0.33088235294117646,0.6462132352941177
12.6,4.1,33,21.5,17,SP98,False,False,False,False,-4.5,1.953,0.32539682539682535,0.6355
8.7,5.3,28,22.5,12,SP98,True,True,False,False,-10.5,1.953,0.6091954022988506,1.1897586206896553
7.9,4.7,31,22.5,12,SP98,True,False,False,False,-10.5,1.953,0.5949367088607594,1.1619113924050632
2.4,9.0,26,20.0,10,SP98,False,False,False,False,-10.0,1.953,3.75,7.32375
4.9,6.3,26,20.0,10,SP98,False,False,False,False,-10.0,1.953,1.2857142857142856,2.5109999999999997
18.1,3.6,36,20.0,19,SP98,False,False,False,False,-1.0,1.953,0.19889502762430938,0.38844198895027626
25.9,3.7,39,20.0,21,SP98,False,False,False,False,1.0,1.953,0.14285714285714288,0.279
1.3,11.5,21,20.0,10,SP98,False,False,False,False,-10.0,1.953,8.846153846153847,17.276538461538465
14.1,5.0,22,20.0,12,SP98,False,False,False,False,-8.0,1.953,0.3546099290780142,0.6925531914893618
13.4,5.5,31,20.0,9,SP98,False,False,False,False,-11.0,1.953,0.4104477611940298,0.8016044776119402
6.4,4.7,33,20.0,8,SP98,False,False,False,False,-12.0,1.953,0.734375,1.434234375
12.9,4.5,42,20.0,13,SP98,False,False,False,False,-7.0,1.953,0.3488372093023256,0.6812790697674419
12.1,4.4,33,22.5,5,SP98,False,False,False,False,-17.5,1.953,0.3636363636363637,0.7101818181818184
15.7,4.1,32,22.5,13,SP98,False,False,False,False,-9.5,1.953,0.2611464968152866,0.5100191082802548
16.2,4.4,26,22.5,11,SP98,False,False,False,False,-11.5,1.953,0.271604938271605,0.5304444444444445
12.8,4.6,22,22.5,12,SP98,False,False,False,False,-10.5,1.953,0.35937499999999994,0.701859375
19.0,4.4,58,22.5,17,SP98,False,False,True,False,-5.5,1.953,0.23157894736842108,0.4522736842105264
29.0,4.0,27,22.5,12,SP98,False,False,False,False,-10.5,1.953,0.13793103448275862,0.2693793103448276
12.1,5.0,32,22.5,9,SP98,False,False,False,False,-13.5,1.953,0.4132231404958678,0.8070247933884298
12.3,5.2,55,22.5,10,SP98,False,False,False,False,-12.5,1.953,0.4227642276422764,0.8256585365853658
24.8,4.0,56,22.5,11,SP98,False,False,False,False,-11.5,1.953,0.16129032258064516,0.315
12.9,5.1,34,22.5,8,SP98,False,True,False,False,-14.5,1.953,0.3953488372093023,0.7721162790697674
11.8,4.5,39,22.5,3,SP98,False,False,False,False,-19.5,1.953,0.3813559322033898,0.7447881355932203
31.4,4.6,62,22.5,11,SP98,False,False,False,False,-11.5,1.953,0.1464968152866242,0.2861082802547771
19.0,5.1,53,22.5,4,SP98,False,True,False,False,-18.5,1.953,0.26842105263157895,0.5242263157894737
13.0,5.7,38,22.5,3,SP98,True,True,False,False,-19.5,1.953,0.43846153846153846,0.8563153846153846
11.8,4.8,42,22.5,2,SP98,False,False,False,False,-20.5,1.953,0.4067796610169491,0.7944406779661016
13.0,6.2,32,22.5,4,SP98,False,False,False,False,-18.5,1.953,0.47692307692307695,0.9314307692307693
11.8,5.0,43,22.5,1,SP98,False,False,False,False,-21.5,1.953,0.423728813559322,0.8275423728813559
27.1,5.0,69,22.5,8,SP98,False,False,False,False,-14.5,1.953,0.18450184501845018,0.3603321033210332
5.2,4.6,38,22.5,8,SP98,False,False,False,False,-14.5,1.953,0.8846153846153845,1.727653846153846
19.0,4.5,29,22.5,10,E10,False,False,False,False,-12.5,1.823,0.23684210526315788,0.4317631578947368
12.4,4.8,38,22.5,1,E10,False,False,False,False,-21.5,1.823,0.3870967741935484,0.7056774193548386
25.2,5.0,55,22.5,9,E10,False,False,False,False,-13.5,1.823,0.19841269841269843,0.36170634920634925
14.3,4.8,36,22.5,10,E10,False,False,False,False,-12.5,1.823,0.3356643356643356,0.6119160839160839
11.8,4.6,40,22.5,2,E10,False,False,False,False,-20.5,1.823,0.38983050847457623,0.7106610169491524
16.9,4.5,48,22.5,9,E10,False,False,True,False,-13.5,1.823,0.26627218934911245,0.485414201183432
12.4,4.6,55,22.5,11,E10,False,False,True,False,-11.5,1.823,0.3709677419354838,0.676274193548387
17.4,4.4,36,22.5,12,E10,False,False,True,False,-10.5,1.823,0.25287356321839083,0.46098850574712646
9.2,5.7,33,22.5,8,E10,False,True,False,False,-14.5,1.823,0.6195652173913044,1.129467391304348
12.3,5.8,54,22.5,10,E10,False,True,False,False,-12.5,1.823,0.47154471544715443,0.8596260162601626
13.0,5.9,32,22.5,10,E10,False,False,False,False,-12.5,1.823,0.4538461538461539,0.8273615384615386
11.8,6.1,16,22.5,6,E10,False,True,False,False,-16.5,1.823,0.5169491525423728,0.9423983050847456
13.0,5.7,37,22.5,11,E10,False,True,False,False,-11.5,1.823,0.43846153846153846,0.7993153846153845
12.3,5.0,42,22.5,10,E10,False,False,False,False,-12.5,1.823,0.4065040650406504,0.7410569105691056
12.3,5.2,57,22.5,15,E10,False,False,True,False,-7.5,1.823,0.4227642276422764,0.7706991869918698
12.5,4.3,57,22.5,16,E10,False,False,True,False,-6.5,1.823,0.344,0.6271119999999999
31.5,4.1,30,22.5,16,E10,False,False,True,False,-6.5,1.823,0.13015873015873014,0.23727936507936503
11.8,4.4,42,22.5,8,E10,False,False,False,False,-14.5,1.823,0.3728813559322034,0.6797627118644067
24.9,4.5,53,22.5,14,E10,False,False,False,False,-8.5,1.823,0.18072289156626506,0.3294578313253012
17.0,3.9,46,22.5,14,E10,False,False,True,False,-8.5,1.823,0.22941176470588234,0.4182176470588235
2.0,8.1,20,22.5,14,E10,False,False,False,False,-8.5,1.823,4.05,7.38315
11.8,4.4,33,22.5,8,E10,False,False,False,False,-14.5,1.823,0.3728813559322034,0.6797627118644067
7.4,5.0,31,22.5,12,E10,False,False,False,False,-10.5,1.823,0.6756756756756757,1.2317567567567567
12.4,4.7,55,22.5,14,E10,False,False,True,False,-8.5,1.823,0.3790322580645161,0.6909758064516128
